"Data","Simbol","Scadenta","Desch","Maxim","Minim","Inchid","Volume","PozDesch"
"2007-01-03","DERRC","DEC07","0","0","0","0.095","0","0"
"2007-01-03","DESBX18","DEC07","0","0","0","3000","0","0"
"2007-01-03","DESBX9","DEC07","0","0","0","3200","0","0"
"2007-01-03","DESIF2","DEC07","0","0","0","3.7","0","0"
"2007-01-03","DESIF3","DEC07","0","0","0","2.95","0","0"
"2007-01-03","DESIF5","DEC07","0","0","0","4.1","0","0"
"2007-01-03","DESNP","DEC07","0","0","0","0.735","0","0"
"2007-01-03","DETLV","DEC07","0","0","0","1.3195","0","0"
"2007-01-03","EUR/USD","DEC07","0","0","0","1.3095","0","0"
"2007-01-03","RON/EUR","DEC07","0","0","0","3.5","0","0"
"2007-01-03","BUBOR3","IUN07","0","0","0","7.8","0","0"
"2007-01-03","DEATB","IUN07","0","0","0","1.4","0","0"
"2007-01-03","DEAZO","IUN07","0","0","0","0.18","0","0"
"2007-01-03","DEBCC","IUN07","0","0","0","0.4835","0","0"
"2007-01-03","DEBIO","IUN07","0","0","0","0.565","0","0"
"2007-01-03","DEBRD","IUN07","0","0","0","22","0","0"
"2007-01-03","DEBRK","IUN07","0","0","0","1.97","0","0"
"2007-01-03","DECMP","IUN07","0","0","0","0.82","0","0"
"2007-01-03","DEIMP","IUN07","0","0","0","0.45","0","0"
"2007-01-03","DEOLT","IUN07","0","0","0","0.5","0","0"
"2007-01-03","DERBR","IUN07","0","0","0","0.094","0","0"
"2007-01-03","DERRC","IUN07","0.106","0.1125","0.1","0.1125","9","52"
"2007-01-03","DESBX18","IUN07","0","0","0","3000","0","0"
"2007-01-03","DESBX9","IUN07","0","0","0","3200","0","0"
"2007-01-03","DESIF1","IUN07","0","0","0","3.42","0","0"
"2007-01-03","DESIF2","IUN07","3.66","3.8929","3.66","3.85","70","1446"
"2007-01-03","DESIF3","IUN07","3.55","3.65","3.55","3.65","12","312"
"2007-01-03","DESIF4","IUN07","0","0","0","1.48","0","0"
"2007-01-03","DESIF5","IUN07","4.18","4.24","4.1","4.2","31","770"
"2007-01-03","DESNP","IUN07","0.648","0.694","0.621","0.6729","30","96"
"2007-01-03","DETLV","IUN07","1.2","1.27","1.2","1.27","82","832"
"2007-01-03","EUR/USD","IUN07","0","0","0","1.3095","0","0"
"2007-01-03","RON/EUR","IUN07","3.45","3.45","3.45","3.45","2","252"
"2007-01-03","RON/USD","IUN07","0","0","0","2.9","0","0"
"2007-01-03","BUBOR3","MAR07","0","0","0","7.8","0","0"
"2007-01-03","DEAMO","MAR07","0.06","0.062","0.0583","0.059","287","2042"
"2007-01-03","DEATB","MAR07","0","0","0","1.4","0","0"
"2007-01-03","DEAZO","MAR07","0","0","0","0.18","0","0"
"2007-01-03","DEBCC","MAR07","0","0","0","0.4835","0","0"
"2007-01-03","DEBIO","MAR07","0","0","0","0.565","0","0"
"2007-01-03","DEBRD","MAR07","0","0","0","21.15","0","0"
"2007-01-03","DEBRK","MAR07","1.8989","2.021","1.8989","2.005","86","432"
"2007-01-03","DECMP","MAR07","0","0","0","0.82","0","0"
"2007-01-03","DEIMP","MAR07","0","0","0","0.45","0","0"
"2007-01-03","DEOLT","MAR07","0","0","0","0.5","0","0"
"2007-01-03","DERBR","MAR07","0","0","0","0.094","0","0"
"2007-01-03","DERRC","MAR07","0.1018","0.1035","0.1","0.1009","394","3392"
"2007-01-03","DESBX18","MAR07","0","0","0","3310","0","0"
"2007-01-03","DESBX9","MAR07","0","0","0","3350","0","0"
"2007-01-03","DESIF1","MAR07","3.4499","3.69","3.4499","3.69","62","164"
"2007-01-03","DESIF2","MAR07","3.482","3.6883","3.482","3.68","8085","35302"
"2007-01-03","DESIF3","MAR07","3.33","3.46","3.33","3.4529","1004","8124"
"2007-01-03","DESIF4","MAR07","0","0","0","1.48","0","0"
"2007-01-03","DESIF5","MAR07","3.8224","3.9899","3.8224","3.97","7085","30464"
"2007-01-03","DESNP","MAR07","0.6398","0.6559","0.633","0.654","901","6578"
"2007-01-03","DETLV","MAR07","1.1198","1.154","1.115","1.145","1788","60202"
"2007-01-03","EUR/USD","MAR07","0","0","0","1.3095","0","0"
"2007-01-03","RON/EUR","MAR07","0","0","0","3.425","0","140"
"2007-01-03","RON/USD","MAR07","0","0","0","2.9","0","0"
"2007-01-03","DERRC","SEP07","0","0","0","0.095","0","0"
"2007-01-03","DESBX18","SEP07","0","0","0","3000","0","0"
"2007-01-03","DESBX9","SEP07","0","0","0","3200","0","0"
"2007-01-03","DESIF2","SEP07","0","0","0","3.7","0","0"
"2007-01-03","DESIF3","SEP07","0","0","0","3","0","2"
"2007-01-03","DESIF5","SEP07","0","0","0","4.1","0","4"
"2007-01-03","DESNP","SEP07","0","0","0","0.735","0","2"
"2007-01-03","DETLV","SEP07","0","0","0","1.3243","0","220"
"2007-01-03","EUR/USD","SEP07","0","0","0","1.3095","0","0"
"2007-01-03","RON/EUR","SEP07","0","0","0","3.5","0","200"
