"Data","Ora","Simbol","Scadenta","Pret","Volum","OpenInt"
"2008-01-03","10:00:21","DESIF2","MAR08","3.5601","2","13796"
"2008-01-03","10:00:45","DESIF5","MAR08","4.5413","2","17894"
"2008-01-03","10:00:45","DESIF5","MAR08","4.6000","2","17894"
"2008-01-03","10:00:46","DESIF5","MAR08","4.5500","2","17894"
"2008-01-03","10:00:50","DESIF5","MAR08","4.5500","4","17894"
"2008-01-03","10:01:25","DESIF2","MAR08","3.6002","3","13796"
"2008-01-03","10:01:25","DESIF2","MAR08","3.6000","2","13796"
"2008-01-03","10:01:26","DESIF2","MAR08","3.6000","1","13796"
"2008-01-03","10:01:53","DESIF5","MAR08","4.5601","2","17894"
"2008-01-03","10:01:56","DESIF2","MAR08","3.6050","2","13796"
"2008-01-03","10:01:56","DESIF2","MAR08","3.6002","3","13796"
"2008-01-03","10:01:56","DESIF2","MAR08","3.6000","2","13796"
"2008-01-03","10:01:56","DESIF2","MAR08","3.6000","2","13796"
"2008-01-03","10:02:04","DESIF2","MAR08","3.6000","1","13796"
"2008-01-03","10:02:13","DESIF2","MAR08","3.6000","10","13796"
"2008-01-03","10:02:50","DESIF5","MAR08","4.5900","15","17894"
"2008-01-03","10:03:21","DESIF3","MAR08","2.5477","1","310"
"2008-01-03","10:03:31","DESIF2","MAR08","3.6300","5","13796"
"2008-01-03","10:03:34","DESIF2","MAR08","3.6300","2","13796"
"2008-01-03","10:04:10","DESIF2","MAR08","3.6100","10","13796"
"2008-01-03","10:04:30","DESIF2","MAR08","3.6100","5","13796"
"2008-01-03","10:04:52","DESIF2","MAR08","3.6100","3","13796"
"2008-01-03","10:05:02","DESIF2","MAR08","3.6099","1","13796"
"2008-01-03","10:05:06","DESIF2","MAR08","3.6005","3","13796"
"2008-01-03","10:05:06","DESIF2","MAR08","3.6001","4","13796"
"2008-01-03","10:05:06","DESIF2","MAR08","3.6000","1","13796"
"2008-01-03","10:05:06","DESIF2","MAR08","3.6000","10","13796"
"2008-01-03","10:05:17","DESIF2","MAR08","3.6000","2","13796"
"2008-01-03","10:05:19","DESIF2","MAR08","3.6099","1","13796"
"2008-01-03","10:05:19","DESIF2","MAR08","3.6200","5","13796"
