Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
DESIF1-DEC06,2006-08-24,2.4,2.4,2.4,2.4,5,10
DESIF1-DEC06,2006-08-30,2.5,2.6,2.5,2.6,6,22
DESIF1-DEC06,2006-08-31,2.4,2.4,2.4,2.4,5,12
DESIF1-DEC06,2006-09-14,2.35,2.35,2.35,2.35,5,12
DESIF1-DEC06,2006-09-19,2.3501,2.3501,2.3501,2.3501,5,12
DESIF1-DEC06,2006-09-20,2.5,2.51,2.4,2.4,18,36
DESIF1-DEC06,2006-09-21,2.4999,2.52,2.4999,2.52,3,34
DESIF1-DEC06,2006-09-22,2.5599,2.58,2.5599,2.58,16,30
DESIF1-DEC06,2006-09-25,2.6,2.649,2.6,2.649,6,42
DESIF1-DEC06,2006-09-26,2.64,2.64,2.64,2.64,1,42
DESIF1-DEC06,2006-09-29,2.59,2.59,2.59,2.59,1,44
DESIF1-DEC06,2006-10-02,2.7,2.7,2.7,2.7,5,54
DESIF1-DEC06,2006-10-03,2.68,2.68,2.68,2.68,5,54
DESIF1-DEC06,2006-10-10,2.8165,2.8165,2.8165,2.8165,1,56
DESIF1-DEC06,2006-10-17,2.82,2.82,2.8,2.8,12,78
DESIF1-DEC06,2006-10-18,3.02,3.03,3.02,3.03,12,78
DESIF1-DEC06,2006-10-19,3,3,3,3,10,72
DESIF1-DEC06,2006-10-20,3.0299,3.0299,3.0299,3.0299,1,72
DESIF1-DEC06,2006-10-23,2.825,3,2.8,3,22,88
DESIF1-DEC06,2006-10-24,2.9,2.9,2.9,2.9,57,162
DESIF1-DEC06,2006-10-25,3.02,3.03,3.02,3.03,2,162
DESIF1-DEC06,2006-10-26,3.025,3.06,3,3.06,33,160
DESIF1-DEC06,2006-10-27,3.095,3.13,3.0899,3.13,25,160
DESIF1-DEC06,2006-10-30,3.03,3.03,2.97,2.9801,27,212
DESIF1-DEC06,2006-10-31,3.024,3.025,3.024,3.025,11,212
DESIF1-DEC06,2006-11-02,3,3.081,3,3.081,8,214
DESIF1-DEC06,2006-11-06,3.37,3.37,3.37,3.37,1,214
DESIF1-DEC06,2006-11-07,3.3701,3.3701,3.2,3.21,21,240
DESIF1-DEC06,2006-11-08,3.163,3.163,2.99,2.99,22,236
DESIF1-DEC06,2006-11-09,2.76,3.13,2.76,3.13,58,204
DESIF1-DEC06,2006-11-10,3.1999,3.2,3.1999,3.2,2,204
DESIF1-DEC06,2006-11-13,3.15,3.15,2.91,2.91,20,202
DESIF1-DEC06,2006-11-14,2.999,3.1,2.999,3.1,19,194
DESIF1-DEC06,2006-11-15,3.13,3.17,3.05,3.05,12,194
DESIF1-DEC06,2006-11-16,3,3.104,2.97,3.03,15,194
DESIF1-DEC06,2006-11-17,3.03,3.17,3,3.17,68,196
DESIF1-DEC06,2006-11-20,3.29,3.3501,3.29,3.3501,5,194
DESIF1-DEC06,2006-11-21,3.399,3.4,3.27,3.27,4,194
DESIF1-DEC06,2006-11-22,3.27,3.35,3.27,3.35,3,194
DESIF1-DEC06,2006-11-23,3.335,3.335,3.335,3.335,1,192
DESIF1-DEC06,2006-11-24,3.1012,3.33,3.1011,3.33,15,206
DESIF1-DEC06,2006-11-28,3.27,3.27,3.18,3.2,15,206
DESIF1-DEC06,2006-11-29,3.19,3.19,3.19,3.19,6,194
DESIF1-DEC06,2006-12-04,3.015,3.015,3.015,3.015,3,188
DESIF1-DEC06,2006-12-06,3,3,3,3,5,188
DESIF1-DEC06,2006-12-11,3.05,3.05,3.05,3.05,1,188
DESIF1-DEC06,2006-12-13,3.03,3.09,3.03,3.09,3,188
DESIF1-DEC06,2006-12-18,3.3393,3.3393,3.3393,3.3393,1,188
DESIF1-DEC06,2006-12-19,3.05,3.05,3.05,3.05,150,488
