Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
DESNP-IUN04,2004-04-21,0.25,0.25,0.25,0.25,20,40
DESNP-IUN04,2004-04-27,0.24,0.24,0.24,0.24,10,60
DESNP-IUN04,2004-05-24,0.27,0.27,0.26,0.26,18,118
DESNP-IUN04,2004-05-25,0.259,0.259,0.259,0.259,1,120
DESNP-IUN04,2004-05-27,0.27,0.27,0.27,0.27,20,160
DESNP-IUN04,2004-05-28,0.27,0.27,0.27,0.27,25,210
DESNP-IUN04,2004-05-31,0.265,0.265,0.26,0.26,8,226
DESNP-IUN04,2004-06-01,0.26,0.26,0.26,0.26,10,232
DESNP-IUN04,2004-06-02,0.27,0.27,0.27,0.27,3,238
DESNP-IUN04,2004-06-04,0.26,0.26,0.26,0.26,1,240
DESNP-IUN04,2004-06-07,0.265,0.265,0.265,0.265,3,246
DESNP-IUN04,2004-06-08,0.26,0.26,0.256,0.256,6,248
DESNP-IUN04,2004-06-09,0.26,0.26,0.26,0.26,10,268
DESNP-IUN04,2004-06-16,0.2501,0.255,0.2501,0.255,6,278
DESNP-IUN04,2004-06-18,0.255,0.255,0.255,0.255,9,296
DESNP-IUN04,2004-06-21,0.251,0.255,0.251,0.255,4,300
DESNP-IUN04,2004-06-22,0.243,0.243,0.243,0.243,1,300
DESNP-IUN04,2004-06-24,0.24,0.24,0.24,0.24,4,300
DESNP-IUN04,2004-06-25,0.235,0.235,0.235,0.235,2,304
DESNP-IUN04,2004-06-28,0.235,0.235,0.235,0.235,4,296
DESNP-IUN04,2004-06-29,0.235,0.235,0.235,0.235,4,296
DESNP-IUN04,2004-06-30,0,0,0,0,316,0
