Symbol,Date,Time,Price,Volume,OpenInterest
RON/EUR-IUN07,2007-04-10,15:10:24,3.351,1,458
RON/EUR-IUN07,2007-04-12,16:12:13,3.3675,0,458
RON/EUR-IUN07,2007-04-13,10:26:07,3.36,1,460
RON/EUR-IUN07,2007-04-16,10:54:57,3.35,1,462
RON/EUR-IUN07,2007-04-17,16:05:37,3.3505,0,462
RON/EUR-IUN07,2007-04-18,10:30:54,3.34,1,464
RON/EUR-IUN07,2007-04-19,15:42:20,3.36,5,464
RON/EUR-IUN07,2007-04-20,13:22:39,3.344,1,466
RON/EUR-IUN07,2007-04-23,14:27:42,3.35,1,466
RON/EUR-IUN07,2007-04-23,14:28:08,3.35,4,474
RON/EUR-IUN07,2007-04-24,10:54:48,3.35,4,482
RON/EUR-IUN07,2007-04-25,11:07:15,3.35,1,484
RON/EUR-IUN07,2007-04-26,11:41:29,3.34,1,486
RON/EUR-IUN07,2007-04-26,12:18:56,3.34,7,486
RON/EUR-IUN07,2007-04-27,10:00:11,3.34,1,486
RON/EUR-IUN07,2007-04-27,10:15:35,3.34,1,488
RON/EUR-IUN07,2007-04-27,10:34:53,3.34,5,498
RON/EUR-IUN07,2007-04-27,11:04:51,3.3299,1,500
RON/EUR-IUN07,2007-04-27,11:35:39,3.3399,4,508
RON/EUR-IUN07,2007-05-02,11:11:08,3.33,1,510
RON/EUR-IUN07,2007-05-03,10:40:39,3.3299,1,512
RON/EUR-IUN07,2007-05-03,11:05:49,3.317,1,514
RON/EUR-IUN07,2007-05-04,15:40:30,3.32,3,514
RON/EUR-IUN07,2007-05-07,16:10:57,3.335,0,514
RON/EUR-IUN07,2007-05-08,10:15:36,3.3,1,516
RON/EUR-IUN07,2007-05-08,11:14:52,3.3275,1,516
RON/EUR-IUN07,2007-05-08,11:19:04,3.32,1,516
RON/EUR-IUN07,2007-05-08,13:44:07,3.3297,1,518
RON/EUR-IUN07,2007-05-09,10:43:31,3.28,1,518
RON/EUR-IUN07,2007-05-09,11:18:42,3.27,1,520
RON/EUR-IUN07,2007-05-09,15:20:35,3.285,1,520
RON/EUR-IUN07,2007-05-10,16:03:42,3.2902,0,520
RON/EUR-IUN07,2007-05-11,10:01:04,3.2701,1,520
RON/EUR-IUN07,2007-05-11,10:11:04,3.2997,2,524
RON/EUR-IUN07,2007-05-11,15:18:16,3.2995,2,524
RON/EUR-IUN07,2007-05-11,15:19:27,3.2997,3,530
RON/EUR-IUN07,2007-05-14,12:25:14,3.2701,3,534
RON/EUR-IUN07,2007-05-14,12:50:34,3.2799,1,534
RON/EUR-IUN07,2007-05-14,13:11:03,3.28,1,534
RON/EUR-IUN07,2007-05-15,10:44:21,3.27,1,534
RON/EUR-IUN07,2007-05-15,13:30:41,3.28,1,532
