Symbol,Date,Time,Price,Volume,OpenInterest
RON/EUR-MAR08,2008-01-03,11:16:21,3.62,1,528
RON/EUR-MAR08,2008-01-03,11:35:50,3.6245,1,528
RON/EUR-MAR08,2008-01-03,11:36:12,3.6245,1,528
RON/EUR-MAR08,2008-01-03,11:36:57,3.6249,2,528
RON/EUR-MAR08,2008-01-03,11:38:04,3.6249,2,528
RON/EUR-MAR08,2008-01-03,11:40:28,3.63,1,528
RON/EUR-MAR08,2008-01-03,11:42:50,3.6302,1,528
RON/EUR-MAR08,2008-01-03,11:42:50,3.6303,1,528
RON/EUR-MAR08,2008-01-03,11:42:50,3.6303,20,528
RON/EUR-MAR08,2008-01-03,11:50:36,3.6251,2,528
RON/EUR-MAR08,2008-01-03,11:52:37,3.6302,2,528
RON/EUR-MAR08,2008-01-03,11:52:37,3.6303,10,528
RON/EUR-MAR08,2008-01-03,12:01:34,3.6303,4,528
RON/EUR-MAR08,2008-01-03,12:03:55,3.6303,3,528
RON/EUR-MAR08,2008-01-03,12:07:34,3.6303,5,528
RON/EUR-MAR08,2008-01-03,12:12:21,3.6303,4,528
RON/EUR-MAR08,2008-01-03,12:13:41,3.6252,7,528
RON/EUR-MAR08,2008-01-03,12:19:37,3.63,5,528
RON/EUR-MAR08,2008-01-03,12:20:01,3.6303,3,528
RON/EUR-MAR08,2008-01-03,12:48:21,3.6253,1,528
RON/EUR-MAR08,2008-01-03,12:51:07,3.6299,1,528
RON/EUR-MAR08,2008-01-03,13:30:44,3.61,7,528
RON/EUR-MAR08,2008-01-03,13:43:26,3.6294,1,528
RON/EUR-MAR08,2008-01-03,13:49:55,3.6294,4,528
