writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
all,all,indefinitePronoun,,,,,,,
another,another,indefinitePronoun,,,,,,,
any,any,indefinitePronoun,,,,,,,
anybody,anybody,indefinitePronoun,,,,,,,
anyone,anyone,indefinitePronoun,,,,,,,
anything,anything,indefinitePronoun,,,,,,,
both,both,indefinitePronoun,,,,,,,
each,each,indefinitePronoun,,,,,,,
either,either,indefinitePronoun,,,,,,,
enough,enough,indefinitePronoun,,,,,,,
enough,enough,indefinitePronoun,,,,,,,
everybody,everybody,indefinitePronoun,,,,,,,
everyone,everyone,indefinitePronoun,,,,,,,
everything,everything,indefinitePronoun,,,,,,,
many,many,indefinitePronoun,,,,,,,
more,more,indefinitePronoun,,,,,,,
most,most,indefinitePronoun,,,,,,,
much,much,indefinitePronoun,,,,,,,
neither,neither,indefinitePronoun,,,,,,,
nobody,nobody,indefinitePronoun,,,,,,,
none,none,indefinitePronoun,,,,,,,
nothing,nothing,indefinitePronoun,,,,,,,
one,one,indefinitePronoun,,,,,,,
others,others,indefinitePronoun,,,,,,,
several,several,indefinitePronoun,,,,,,,
several,several,indefinitePronoun,,,,,,,
some,some,indefinitePronoun,,,,,,,
somebody,somebody,indefinitePronoun,,,,,,,
someone,someone,indefinitePronoun,,,,,,,
something,something,indefinitePronoun,,,,,,,
they,they,indefinitePronoun,,,,,,,
you,you,indefinitePronoun,,,,,,,
