form,lemma,pos,gender,number,wcase,person,comp,mood,tense
can,can,Md,,,,,,,ps
could,can,Md,,,,,,,pt
dare,dare,Md,,,,,,,
did,do,Vb,,,,,,ind,pt
had,have,Vb,,,,,,ind,pt
has,have,Vb,,sng,,rd,,ind,ps
have,have,Vb,,,,,,ind,ps
may,may,Md,,,,,,,ps
might,may,Md,,,,,,,pt
must,must,Md,,,,,,,
need,need,Md,,,,,,,
ought,ought_to,Md,,,,,,,
shall,shall,Md,,,,,,,ps
should,shall,Md,,,,,,,pt
used,used_to,Md,,,,,,,
'd,will,Md,,,,,,,pt
'll,will,Md,,,,,,,ps
will,will,Md,,,,,,,ps
would,will,Md,,,,,,,pt
wo,will,Md,,,,,,,ps
