form,lemma,pos,gender,number,wcase,person,comp,mood,tense
apart,apart,Pr,,,,,,,
aside,aside,Pr,,,,,,,
notwithstanding,notwithstanding,Pr,,,,,,,
on,on,Pr,,,,,,,
through,through,Pr,,,,,,,
ago,ago,PrPOS,,,,,,,
away,away,PrPOS,,,,,,,
hence,hence,PrPOS,,,,,,,
withal,withal,PrPOS,,,,,,,
aboard,aboard,PrPRE,,,,,,,
about,about,PrPRE,,,,,,,
above,above,PrPRE,,,,,,,
abroad,abroad,PrPRE,,,,,,,
according_to,according_to,PrPRE,,,,,,,
across,across,PrPRE,,,,,,,
after,after,PrPRE,,,,,,,
against,against,PrPRE,,,,,,,
ahead_of,ahead_of,PrPRE,,,,,,,
all_over,all_over,PrPRE,,,,,,,
along,along,PrPRE,,,,,,,
alongside,alongside,PrPRE,,,,,,,
amid,amid,PrPRE,,,,,,,
amidst,amidst,PrPRE,,,,,,,
among,among,PrPRE,,,,,,,
amongst,amongst,PrPRE,,,,,,,
anent,anent,PrPRE,,,,,,,
anti,anti,PrPRE,,,,,,,
apart_from,apart_from,PrPRE,,,,,,,
around,around,PrPRE,,,,,,,
as,as,PrPRE,,,,,,,
as_far_as,as_far_as,PrPRE,,,,,,,
as_for,as_for,PrPRE,,,,,,,
as_of,as_of,PrPRE,,,,,,,
as_per,as_per,PrPRE,,,,,,,
as_regards,as_regards,PrPRE,,,,,,,
as_well_as,as_well_as,PrPRE,,,,,,,
aside_from,aside_from,PrPRE,,,,,,,
astride,astride,PrPRE,,,,,,,
at,at,PrPRE,,,,,,,
at_the_back_of,at_the_back_of,PrPRE,,,,,,,
athwart,athwart,PrPRE,,,,,,,
atop,atop,PrPRE,,,,,,,
away_from,away_from,PrPRE,,,,,,,
barring,barring,PrPRE,,,,,,,
because_of,because_of,PrPRE,,,,,,,
before,before,PrPRE,,,,,,,
behind,behind,PrPRE,,,,,,,
behither,behither,PrPRE,,,,,,,
below,below,PrPRE,,,,,,,
beneath,beneath,PrPRE,,,,,,,
beside,beside,PrPRE,,,,,,,
besides,besides,PrPRE,,,,,,,
between,between,PrPRE,,,,,,,
betwixt,betwixt,PrPRE,,,,,,,
beyond,beyond,PrPRE,,,,,,,
but,but,PrPRE,,,,,,,
by,by,PrPRE,,,,,,,
by_means_of,by_means_of,PrPRE,,,,,,,
