writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
am,be,verb,,singular,,firstPerson,,indicative,present
's,be,verb,,singular,,thirdPerson,,indicative,present
is,be,verb,,singular,,thirdPerson,,indicative,present
're,be,verb,,,,,,indicative,present
are,be,verb,,,,,,indicative,present
'm,be,verb,,singular,,firstPerson,,indicative,present
was,be,verb,,singular,,,,indicative,past
were,be,verb,,plural,,,,indicative,past
been,be,verb,,,,,,par,past
've,have,verb,,,,,,indicative,present
