"Data","Simbol","Piata","Deschidere","Maxim","Minim","Inchidere","Pret mediu","Volum","Valoare","Nr. tranzactii","Modificare%"
"2007-04-10","ALR","REGS","8.3","8.7","7.95","8.2","8.2","100700","824350","164","-5.75"
"2007-04-10","ALT","REGS","0.223","0.223","0.219","0.219","0.221","20900","4612.8","6","-4.37"
"2007-04-10","AMO","REGS","0.05","0.0501","0.0491","0.0496","0.0494","1455500","71882.94","37","-1.00"
"2007-04-10","APC","REGS","0.71","0.71","0.71","0.71","0.71","300","213","1","0.00"
"2007-04-10","ARS","REGS","19.4","19.8","19.3","19.3","19.5","2400","46900","12","0.00"
"2007-04-10","ART","REGS","36","36","33","34.1","34.4","5900","203040","31","7.23"
"2007-04-10","ATB","REGS","1.85","1.88","1.85","1.87","1.87","246900","460528","49","1.08"
"2007-04-10","AZO","REGS","0.188","0.188","0.185","0.185","0.186","137000","25410","11","-2.63"
"2007-04-10","BCC","REGS","0.61","0.615","0.605","0.605","0.605","26100","15824.5","16","-1.63"
"2007-04-10","BIO","REGS","0.715","0.72","0.705","0.715","0.715","1179200","843169.5","74","0.70"
"2007-04-10","BRD","REGS","21.3","21.5","21.3","21.4","21.3","158990","3390420","70","0.00"
"2007-04-10","BRK","REGS","2","2.01","1.99","1.99","2","197600","394573","120","0.00"
"2007-04-10","BRM","REGS","1.95","2.04","1.95","2.01","1.99","93800","186984","64","3.61"
"2007-04-10","CBC","REGS","11.9","11.9","11.9","11.9","11.9","500","5950","2","0.00"
"2007-04-10","CMP","REGS","1.39","1.42","1.39","1.39","1.41","122900","172800","36","0.00"
"2007-04-10","COS","REGS","5.7","5.7","5.7","5.7","5.7","100","570","1","0.00"
"2007-04-10","ECT","REGS","0.1","0.106","0.1","0.106","0.101","99100","10047.8","20","6.00"
"2007-04-10","EFO","REGS","0.74","0.74","0.74","0.74","0.74","4000","2960","1","-1.33"
"2007-04-10","ENP","REGS","2.9","2.9","2.9","2.9","2.9","100","290","1","-3.01"
"2007-04-10","EPT","REGS","0.252","0.27","0.251","0.253","0.256","11300","2895.4","13","1.20"
"2007-04-10","EXC","REGS","2.5","2.5","2.36","2.39","2.42","14900","36045","29","-4.02"
"2007-04-10","FLA","REGS","0.375","0.375","0.375","0.375","0.375","100","37.5","1","-0.27"
"2007-04-10","IMP","REGS","0.78","0.78","0.78","0.78","0.78","2100","1638","3","-1.27"
"2007-04-10","MECF","REGS","10","10.5","10","10.5","10.1","1300","13150","5","5.00"
"2007-04-10","MPN","REGS","0.61","0.635","0.6","0.635","0.62","7500","4634","15","4.10"
"2007-04-10","OIL","REGS","0.33","0.345","0.326","0.33","0.334","86700","28913.5","36","-0.90"
"2007-04-10","OLT","REGS","0.405","0.418","0.401","0.418","0.411","229100","94153.9","64","4.24"
"2007-04-10","PCL","REGS","2.5","2.5","2.4","2.49","2.46","233900","574381","18","-0.40"
"2007-04-10","PEI","REGS","116","116.9","115.8","116.9","116.5","37","4309.3","11","0.60"
"2007-04-10","PPL","REGS","3.09","3.15","3.09","3.15","3.13","20000","62638","14","1.94"
"2007-04-10","PTR","REGS","1.49","1.57","1.49","1.54","1.51","65400","98860","38","4.05"
"2007-04-10","RRC","REGS","0.103","0.105","0.103","0.103","0.103","3829300","395960.2","90","0.98"
"2007-04-10","SCD","REGS","1.75","1.75","1.75","1.75","1.75","13900","24325","11","1.74"
"2007-04-10","SIF1","REGS","2.84","2.91","2.84","2.9","2.89","6427500","18589118","453","1.75"
"2007-04-10","SIF2","REGS","2.95","3.03","2.95","3","3","976600","2933970","276","2.04"
"2007-04-10","SIF3","REGS","3.34","3.46","3.34","3.46","3.43","770200","2638622","305","3.28"
"2007-04-10","SIF4","REGS","1.78","1.83","1.77","1.83","1.81","1043900","1887844","214","2.23"
"2007-04-10","SIF5","REGS","3.28","3.35","3.26","3.34","3.32","1017300","3382351","326","2.45"
"2007-04-10","SNO","REGS","12.2","13.2","12","13","12.7","31600","401650","56","10.17"
"2007-04-10","SNP","REGS","0.565","0.57","0.56","0.56","0.565","3284600","1858406.5","168","-1.75"
"2007-04-10","SOCP","REGS","0.249","0.25","0.24","0.249","0.248","169200","42021.3","20","1.22"
"2007-04-10","SRT","REGS","0.082","0.0825","0.082","0.0825","0.0824","110200","9077.2","5","1.60"
"2007-04-10","STZ","REGS","0.51","0.51","0.51","0.51","0.51","1800","918","4","-2.86"
"2007-04-10","TBM","REGS","0.75","0.755","0.745","0.755","0.75","25100","18816.5","12","-0.66"
"2007-04-10","TEL","REGS","47.3","47.4","47.1","47.4","47.3","13190","623546","65","0.42"
"2007-04-10","TLV","REGS","1.05","1.07","1.05","1.05","1.06","6080400","6432449","276","-0.94"
"2007-04-10","TUFE","REGS","1.8","1.8","1.79","1.8","1.8","54600","98270","44","-0.55"
"2007-04-10","UAM","REGS","0.585","0.6","0.585","0.585","0.585","3800","2231.5","5","0.86"
"2007-04-10","VNC","REGS","0.128","0.134","0.128","0.13","0.131","635500","82965.7","57","2.36"
