Symbol,Date,Time,Price,Volume,OpenInterest
DEBRK-IUN07,2007-04-10,10:49:19,2.02,1,1072
DEBRK-IUN07,2007-04-10,13:16:48,2.0453,28,1032
DEBRK-IUN07,2007-04-10,13:27:35,2.0453,2,1028
DEBRK-IUN07,2007-04-10,13:29:03,2.0453,1,1030
DEBRK-IUN07,2007-04-10,13:39:51,2.046,1,1032
DEBRK-IUN07,2007-04-10,14:21:14,2.032,2,1036
DEBRK-IUN07,2007-04-10,14:40:18,2.0494,2,1038
DEBRK-IUN07,2007-04-11,10:37:30,2.03,1,1038
DEBRK-IUN07,2007-04-11,10:38:02,2.03,2,1038
DEBRK-IUN07,2007-04-11,10:39:19,2.03,2,1038
DEBRK-IUN07,2007-04-11,11:16:16,2.0497,10,1054
DEBRK-IUN07,2007-04-11,11:17:23,2.0503,3,1054
DEBRK-IUN07,2007-04-11,11:17:52,2.0503,3,1048
DEBRK-IUN07,2007-04-11,11:29:51,2.06,10,1056
DEBRK-IUN07,2007-04-11,11:34:48,2.06,1,1058
DEBRK-IUN07,2007-04-11,11:41:40,2.07,2,1062
DEBRK-IUN07,2007-04-11,11:44:33,2.08,6,1074
DEBRK-IUN07,2007-04-11,11:44:49,2.07,2,1076
DEBRK-IUN07,2007-04-11,11:45:21,2.07,1,1076
DEBRK-IUN07,2007-04-11,12:16:43,2.0701,1,1078
DEBRK-IUN07,2007-04-11,12:27:42,2.0701,3,1078
DEBRK-IUN07,2007-04-11,15:45:44,2.089,3,1078
DEBRK-IUN07,2007-04-12,10:39:41,2.088,1,1078
DEBRK-IUN07,2007-04-12,10:46:05,2.08,1,1080
DEBRK-IUN07,2007-04-12,12:08:16,2.0601,2,1076
DEBRK-IUN07,2007-04-12,12:32:56,2.0535,3,1070
DEBRK-IUN07,2007-04-12,15:27:25,2.08,3,1070
DEBRK-IUN07,2007-04-12,15:33:08,2.088,2,1074
DEBRK-IUN07,2007-04-12,15:56:28,2.0899,2,1078
DEBRK-IUN07,2007-04-13,16:08:54,2.0697,0,1078
DEBRK-IUN07,2007-04-16,10:45:38,2.08,4,1076
DEBRK-IUN07,2007-04-16,11:38:01,2.061,1,1076
DEBRK-IUN07,2007-04-16,12:24:52,2.09,15,1056
DEBRK-IUN07,2007-04-16,12:25:34,2.07,4,1054
DEBRK-IUN07,2007-04-16,12:54:16,2.0602,13,1050
DEBRK-IUN07,2007-04-16,13:18:35,2.095,4,1058
DEBRK-IUN07,2007-04-16,13:25:45,2.081,1,1058
DEBRK-IUN07,2007-04-16,13:26:49,2.09,5,1068
DEBRK-IUN07,2007-04-16,13:42:32,2.1,3,1074
DEBRK-IUN07,2007-04-16,13:44:43,2.1,2,1078
DEBRK-IUN07,2007-04-16,14:03:38,2.1,1,1078
DEBRK-IUN07,2007-04-16,14:06:33,2.1,3,1078
DEBRK-IUN07,2007-04-16,14:29:30,2.09,5,1078
DEBRK-IUN07,2007-04-16,15:32:35,2.1,3,1080
DEBRK-IUN07,2007-04-16,15:33:23,2.1,2,1080
DEBRK-IUN07,2007-04-16,15:33:36,2.1,1,1080
DEBRK-IUN07,2007-04-17,10:19:31,2.1098,1,1080
DEBRK-IUN07,2007-04-17,10:21:20,2.1098,9,1080
DEBRK-IUN07,2007-04-17,11:03:51,2.1,3,1080
DEBRK-IUN07,2007-04-17,12:06:35,2.101,1,1082
DEBRK-IUN07,2007-04-17,12:07:45,2.101,1,1082
DEBRK-IUN07,2007-04-17,12:09:02,2.1001,5,1080
DEBRK-IUN07,2007-04-17,12:54:20,2.1133,4,1078
DEBRK-IUN07,2007-04-17,13:04:06,2.101,1,1078
DEBRK-IUN07,2007-04-17,13:14:37,2.1133,1,1080
DEBRK-IUN07,2007-04-17,13:17:36,2.115,3,1086
DEBRK-IUN07,2007-04-17,13:26:55,2.115,1,1086
DEBRK-IUN07,2007-04-17,13:30:26,2.115,2,1086
DEBRK-IUN07,2007-04-17,13:41:56,2.115,3,1086
DEBRK-IUN07,2007-04-17,13:42:12,2.116,1,1086
DEBRK-IUN07,2007-04-17,13:57:25,2.116,1,1086
DEBRK-IUN07,2007-04-17,13:59:01,2.11,2,1086
DEBRK-IUN07,2007-04-17,14:53:06,2.101,5,1078
DEBRK-IUN07,2007-04-18,10:02:55,2.13,6,1090
DEBRK-IUN07,2007-04-18,10:25:20,2.11,1,1092
DEBRK-IUN07,2007-04-18,11:42:56,2.12,4,1092
DEBRK-IUN07,2007-04-18,11:49:30,2.089,1,1092
DEBRK-IUN07,2007-04-18,12:04:46,2.089,1,1090
DEBRK-IUN07,2007-04-18,13:44:06,2.118,3,1096
DEBRK-IUN07,2007-04-18,13:44:16,2.121,7,1104
