Symbol,Date,Time,Price,Volume,OpenInterest
DEBRK-MAR08,2008-01-03,10:07:05,2.885,2,1230
DEBRK-MAR08,2008-01-03,11:15:50,2.802,1,1230
DEBRK-MAR08,2008-01-03,11:15:50,2.7501,1,1230
DEBRK-MAR08,2008-01-03,11:15:50,2.75,13,1230
DEBRK-MAR08,2008-01-03,11:52:55,2.75,1,1230
DEBRK-MAR08,2008-01-03,11:54:45,2.75,29,1230
DEBRK-MAR08,2008-01-03,12:14:35,2.75,30,1230
DEBRK-MAR08,2008-01-03,12:15:32,2.75,5,1230
DEBRK-MAR08,2008-01-03,12:32:04,2.765,1,1230
DEBRK-MAR08,2008-01-03,12:36:45,2.78,2,1230
DEBRK-MAR08,2008-01-03,12:44:03,2.78,1,1230
DEBRK-MAR08,2008-01-03,12:51:11,2.78,2,1230
DEBRK-MAR08,2008-01-03,12:58:03,2.77,2,1230
DEBRK-MAR08,2008-01-03,13:33:34,2.77,5,1230
DEBRK-MAR08,2008-01-03,13:34:23,2.7699,1,1230
DEBRK-MAR08,2008-01-03,13:34:23,2.77,4,1230
DEBRK-MAR08,2008-01-03,13:38:19,2.765,11,1230
DEBRK-MAR08,2008-01-03,13:50:27,2.7601,3,1230
DEBRK-MAR08,2008-01-03,13:50:27,2.76,10,1230
DEBRK-MAR08,2008-01-03,13:51:18,2.7555,1,1230
DEBRK-MAR08,2008-01-03,13:51:18,2.75,50,1230
DEBRK-MAR08,2008-01-03,14:54:37,2.7689,1,1230
DEBRK-MAR08,2008-01-03,14:54:37,2.769,1,1230
DEBRK-MAR08,2008-01-03,15:24:06,2.7689,1,1230
DEBRK-MAR08,2008-01-03,15:24:20,2.769,2,1230
DEBRK-MAR08,2008-01-03,15:37:32,2.7689,1,1230
DEBRK-MAR08,2008-01-03,15:37:32,2.769,2,1230
DEBRK-MAR08,2008-01-03,15:55:15,2.7698,1,1230
