Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
DERRC-SEP06,2006-04-06,0.105,0.105,0.105,0.105,5,10
DERRC-SEP06,2006-04-07,0.104,0.105,0.1034,0.1034,42,94
DERRC-SEP06,2006-04-11,0.115,0.115,0.105,0.106,50,94
DERRC-SEP06,2006-04-12,0.106,0.106,0.104,0.104,85,214
DERRC-SEP06,2006-04-13,0.102,0.102,0.098,0.0989,302,750
DERRC-SEP06,2006-04-14,0.0999,0.0999,0.0999,0.0999,10,750
DERRC-SEP06,2006-04-15,0.1,0.1,0.1,0.1,5,750
DERRC-SEP06,2006-04-18,0.1029,0.1038,0.102,0.102,20,760
DERRC-SEP06,2006-04-19,0.1029,0.1029,0.1017,0.1017,4,760
DERRC-SEP06,2006-04-20,0.103,0.104,0.1015,0.103,38,782
DERRC-SEP06,2006-04-21,0.1022,0.1022,0.1011,0.1016,23,782
DERRC-SEP06,2006-04-25,0.1015,0.1015,0.1,0.1014,101,914
DERRC-SEP06,2006-04-26,0.102,0.103,0.1015,0.1015,19,920
DERRC-SEP06,2006-05-02,0.098,0.098,0.098,0.098,29,940
DERRC-SEP06,2006-05-03,0.0967,0.0967,0.0945,0.0965,119,1118
DERRC-SEP06,2006-05-04,0.0953,0.0975,0.093,0.0958,43,1134
DERRC-SEP06,2006-05-05,0.0959,0.0975,0.0958,0.0975,53,1226
DERRC-SEP06,2006-05-08,0.0975,0.0975,0.095,0.095,76,1324
DERRC-SEP06,2006-05-09,0.0943,0.0943,0.091,0.0924,138,1378
DERRC-SEP06,2006-05-10,0.093,0.093,0.0915,0.0927,384,1854
DERRC-SEP06,2006-05-11,0.093,0.0935,0.092,0.0935,82,1980
DERRC-SEP06,2006-05-12,0.095,0.095,0.092,0.0922,81,2004
DERRC-SEP06,2006-05-15,0.0909,0.091,0.0872,0.0894,335,2390
DERRC-SEP06,2006-05-16,0.088,0.0899,0.0868,0.0898,187,2384
DERRC-SEP06,2006-05-17,0.09,0.09,0.0882,0.0882,7,2370
DERRC-SEP06,2006-05-18,0.0874,0.0874,0.087,0.0871,49,2340
DERRC-SEP06,2006-05-19,0.0865,0.0889,0.086,0.0889,83,2356
DERRC-SEP06,2006-05-22,0.0889,0.089,0.0826,0.0862,364,2748
DERRC-SEP06,2006-05-23,0.0874,0.0899,0.083,0.0865,515,3210
DERRC-SEP06,2006-05-24,0.0884,0.0884,0.0836,0.084,360,3560
DERRC-SEP06,2006-05-25,0.085,0.0858,0.084,0.0858,171,3406
DERRC-SEP06,2006-05-26,0.0855,0.0878,0.0855,0.0878,69,3406
DERRC-SEP06,2006-05-29,0.088,0.09,0.087,0.088,25,3402
DERRC-SEP06,2006-05-30,0.0865,0.0869,0.0847,0.0866,103,3518
DERRC-SEP06,2006-05-31,0.0851,0.0851,0.0837,0.085,68,3596
DERRC-SEP06,2006-06-01,0.0835,0.0856,0.0835,0.0847,16,3602
DERRC-SEP06,2006-06-02,0.0843,0.0865,0.0843,0.0865,32,3622
DERRC-SEP06,2006-06-05,0.0851,0.0851,0.0851,0.0851,10,3602
DERRC-SEP06,2006-06-06,0.0851,0.0869,0.0851,0.0856,38,3596
DERRC-SEP06,2006-06-07,0.0865,0.0865,0.0851,0.0851,34,3616
DERRC-SEP06,2006-06-08,0.0846,0.0846,0.0817,0.0835,138,3454
DERRC-SEP06,2006-06-09,0.0835,0.0845,0.0826,0.0826,62,3472
DERRC-SEP06,2006-06-12,0.0834,0.0845,0.072,0.075,282,3220
DERRC-SEP06,2006-06-13,0.075,0.0791,0.0711,0.075,248,3326
DERRC-SEP06,2006-06-14,0.075,0.075,0.071,0.071,267,3350
DERRC-SEP06,2006-06-15,0.074,0.0745,0.0683,0.0703,495,3418
DERRC-SEP06,2006-06-16,0.0701,0.0729,0.0701,0.0712,339,3506
DERRC-SEP06,2006-06-19,0.0713,0.0745,0.0713,0.0744,229,3390
DERRC-SEP06,2006-06-21,0.073,0.0737,0.0705,0.073,206,3464
DERRC-SEP06,2006-06-22,0.071,0.0728,0.071,0.0728,58,3524
DERRC-SEP06,2006-06-23,0.0725,0.0739,0.0708,0.0716,128,3650
DERRC-SEP06,2006-06-26,0.0702,0.0705,0.067,0.068,480,4086
DERRC-SEP06,2006-06-27,0.0679,0.068,0.0635,0.0665,613,4164
DERRC-SEP06,2006-06-28,0.064,0.0713,0.0628,0.0684,643,4540
DERRC-SEP06,2006-06-29,0.0687,0.072,0.068,0.0702,725,4592
DERRC-SEP06,2006-06-30,0.0713,0.073,0.0699,0.072,611,5202
DERRC-SEP06,2006-07-03,0.0724,0.075,0.0724,0.074,742,5600
DERRC-SEP06,2006-07-04,0.074,0.076,0.074,0.074,929,5126
DERRC-SEP06,2006-07-05,0.0739,0.0739,0.0723,0.073,384,5160
DERRC-SEP06,2006-07-06,0.0739,0.0749,0.0733,0.0734,158,5018
DERRC-SEP06,2006-07-07,0.0732,0.0749,0.0728,0.0741,242,5066
DERRC-SEP06,2006-07-10,0.075,0.0766,0.0732,0.0745,275,4950
DERRC-SEP06,2006-07-11,0.0732,0.0753,0.0732,0.0753,159,4870
DERRC-SEP06,2006-07-12,0.0762,0.0815,0.0761,0.0815,710,4754
DERRC-SEP06,2006-07-13,0.082,0.087,0.0794,0.082,1282,4784
DERRC-SEP06,2006-07-14,0.0811,0.0811,0.0766,0.0778,615,4556
DERRC-SEP06,2006-07-17,0.08,0.083,0.0779,0.0825,942,4972
DERRC-SEP06,2006-07-18,0.0835,0.0858,0.0815,0.0858,531,5130
DERRC-SEP06,2006-07-19,0.0864,0.0875,0.082,0.0821,714,4940
DERRC-SEP06,2006-07-20,0.082,0.0838,0.079,0.0835,625,4784
DERRC-SEP06,2006-07-21,0.0838,0.0846,0.0835,0.0836,164,4748
DERRC-SEP06,2006-07-24,0.0846,0.0862,0.0835,0.0855,278,4794
DERRC-SEP06,2006-07-25,0.0862,0.09,0.0862,0.09,1814,3948
DERRC-SEP06,2006-07-26,0.09,0.092,0.088,0.0909,1423,3674
DERRC-SEP06,2006-07-27,0.09,0.0951,0.089,0.0938,1479,3422
DERRC-SEP06,2006-07-28,0.0934,0.0968,0.0887,0.0891,1591,3416
DERRC-SEP06,2006-07-31,0.089,0.089,0.0846,0.0856,926,2874
DERRC-SEP06,2006-08-01,0.0851,0.0885,0.0847,0.0865,859,3298
DERRC-SEP06,2006-08-02,0.0855,0.0885,0.084,0.086,442,3250
DERRC-SEP06,2006-08-03,0.086,0.0879,0.0845,0.0849,703,3072
DERRC-SEP06,2006-08-04,0.0865,0.0865,0.0816,0.084,911,2956
DERRC-SEP06,2006-08-07,0.0827,0.085,0.0817,0.0821,254,3004
DERRC-SEP06,2006-08-08,0.0844,0.0875,0.0823,0.0875,557,3026
DERRC-SEP06,2006-08-09,0.0884,0.09,0.0866,0.0883,898,3290
DERRC-SEP06,2006-08-10,0.0883,0.091,0.087,0.0889,697,3378
DERRC-SEP06,2006-08-11,0.0884,0.0905,0.0882,0.0892,495,3754
DERRC-SEP06,2006-08-14,0.0892,0.0932,0.0892,0.0926,567,3914
