Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
DESIF2-IUN07,2006-09-07,2.725,2.73,2.725,2.73,11,22
DESIF2-IUN07,2006-09-08,2.6051,2.72,2.6051,2.72,6,14
DESIF2-IUN07,2006-09-11,2.6811,2.6811,2.6811,2.6811,2,10
DESIF2-IUN07,2006-09-12,2.6802,2.6802,2.68,2.68,3,10
DESIF2-IUN07,2006-09-13,2.65,2.65,2.615,2.615,4,12
DESIF2-IUN07,2006-09-14,2.65,2.66,2.65,2.66,15,30
DESIF2-IUN07,2006-09-15,2.531,2.531,2.531,2.531,2,34
DESIF2-IUN07,2006-09-19,2.65,2.65,2.65,2.65,1,36
DESIF2-IUN07,2006-09-20,2.6515,2.6515,2.6,2.6,11,54
DESIF2-IUN07,2006-09-22,2.68,2.68,2.68,2.68,9,54
DESIF2-IUN07,2006-09-25,2.745,2.79,2.72,2.7888,14,80
DESIF2-IUN07,2006-09-28,2.761,2.761,2.576,2.7,102,106
DESIF2-IUN07,2006-09-29,2.731,2.731,2.731,2.731,1,104
DESIF2-IUN07,2006-10-02,2.7415,2.8,2.7415,2.8,4,104
DESIF2-IUN07,2006-10-03,2.8,2.8,2.8,2.8,1,106
DESIF2-IUN07,2006-10-04,2.84,2.9,2.84,2.8989,14,98
DESIF2-IUN07,2006-10-05,2.95,2.9989,2.85,2.93,9,108
DESIF2-IUN07,2006-10-06,2.999,2.999,2.999,2.999,2,106
DESIF2-IUN07,2006-10-09,2.9301,2.9999,2.93,2.9999,12,110
DESIF2-IUN07,2006-10-10,2.9802,2.9802,2.98,2.98,7,106
DESIF2-IUN07,2006-10-11,3,3,3,3,1,106
DESIF2-IUN07,2006-10-12,2.99,3.05,2.98,3.05,10,110
DESIF2-IUN07,2006-10-13,3.09,3.19,3.03,3.11,34,140
DESIF2-IUN07,2006-10-16,3.185,3.25,3.185,3.24,6,136
DESIF2-IUN07,2006-10-17,3.27,3.43,3.27,3.43,16,136
DESIF2-IUN07,2006-10-18,3.3901,3.3901,3.3901,3.3901,1,136
DESIF2-IUN07,2006-10-19,3.325,3.435,3.325,3.435,6,136
DESIF2-IUN07,2006-10-20,3.48,3.5,3.42,3.4404,6,140
DESIF2-IUN07,2006-10-23,3.41,3.41,3.375,3.4,10,150
DESIF2-IUN07,2006-10-24,3.469,3.48,3.469,3.48,5,152
DESIF2-IUN07,2006-10-25,3.6,3.65,3.6,3.65,15,164
DESIF2-IUN07,2006-10-26,3.7,3.76,3.7,3.76,36,202
DESIF2-IUN07,2006-10-27,3.702,3.837,3.702,3.712,20,238
DESIF2-IUN07,2006-10-30,3.72,3.72,3.71,3.71,11,248
DESIF2-IUN07,2006-10-31,3.84,3.89,3.715,3.8121,54,236
DESIF2-IUN07,2006-11-01,3.9,4.0621,3.89,4.0621,70,256
DESIF2-IUN07,2006-11-02,4.11,4.13,4.1,4.12,32,276
DESIF2-IUN07,2006-11-03,4.19,4.2,4.13,4.13,4,276
DESIF2-IUN07,2006-11-06,4.0051,4.255,4.005,4.255,23,276
DESIF2-IUN07,2006-11-07,4.0701,4.09,4.005,4.008,79,326
DESIF2-IUN07,2006-11-08,4.0081,4.0081,3.758,3.758,52,348
DESIF2-IUN07,2006-11-09,3.5101,3.85,3.508,3.8,55,348
DESIF2-IUN07,2006-11-10,3.85,3.9776,3.85,3.9776,2,348
DESIF2-IUN07,2006-11-13,3.9,3.9,3.7,3.7,115,310
DESIF2-IUN07,2006-11-14,3.67,3.8999,3.55,3.6525,32,284
DESIF2-IUN07,2006-11-15,3.8988,3.9292,3.5002,3.5002,24,278
DESIF2-IUN07,2006-11-16,3.7878,3.7878,3.4,3.4777,86,398
DESIF2-IUN07,2006-11-17,3.4749,3.7777,3.36,3.7777,154,552
DESIF2-IUN07,2006-11-20,3.7997,3.8933,3.751,3.8008,20,550
DESIF2-IUN07,2006-11-21,3.7999,3.8799,3.6351,3.65,5,554
