Symbol,Date,Time,Price,Volume,OpenInterest
DESIF2-IUN07,2007-04-10,10:00:15,3.0447,1,22626
DESIF2-IUN07,2007-04-10,10:00:26,3.05,5,22618
DESIF2-IUN07,2007-04-10,10:00:46,3.06,6,22606
DESIF2-IUN07,2007-04-10,10:00:56,3.05,34,22552
DESIF2-IUN07,2007-04-10,10:01:37,3.05,15,22552
DESIF2-IUN07,2007-04-10,10:01:47,3.05,1,22552
DESIF2-IUN07,2007-04-10,10:01:57,3.055,3,22552
DESIF2-IUN07,2007-04-10,10:02:08,3.05,5,22552
DESIF2-IUN07,2007-04-10,10:02:28,3.05,2,22552
DESIF2-IUN07,2007-04-10,10:02:38,3.055,2,22548
DESIF2-IUN07,2007-04-10,10:03:09,3.05,40,22538
DESIF2-IUN07,2007-04-10,10:03:19,3.05,5,22538
DESIF2-IUN07,2007-04-10,10:03:29,3.05,5,22538
DESIF2-IUN07,2007-04-10,10:04:00,3.05,2,22542
DESIF2-IUN07,2007-04-10,10:04:10,3.05,8,22548
DESIF2-IUN07,2007-04-10,10:04:20,3.06,3,22552
DESIF2-IUN07,2007-04-10,10:04:51,3.06,1,22552
DESIF2-IUN07,2007-04-10,10:06:25,3.055,5,22552
DESIF2-IUN07,2007-04-10,10:07:26,3.06,1,22552
DESIF2-IUN07,2007-04-10,10:07:47,3.06,5,22542
DESIF2-IUN07,2007-04-10,10:07:57,3.06,3,22536
DESIF2-IUN07,2007-04-10,10:08:38,3.055,8,22536
DESIF2-IUN07,2007-04-10,10:10:38,3.056,22,22516
DESIF2-IUN07,2007-04-10,10:10:43,3.055,24,22516
DESIF2-IUN07,2007-04-10,10:11:04,3.055,4,22516
DESIF2-IUN07,2007-04-10,10:11:09,3.051,52,22516
DESIF2-IUN07,2007-04-10,10:11:41,3.051,2,22516
DESIF2-IUN07,2007-04-10,10:13:15,3.0503,35,22514
DESIF2-IUN07,2007-04-10,10:13:20,3.05,24,22490
DESIF2-IUN07,2007-04-10,10:13:41,3.045,5,22490
DESIF2-IUN07,2007-04-10,10:14:43,3.05,1,22490
DESIF2-IUN07,2007-04-10,10:15:20,3.05,4,22490
DESIF2-IUN07,2007-04-10,10:16:07,3.0452,5,22480
DESIF2-IUN07,2007-04-10,10:16:12,3.0589,7,22484
DESIF2-IUN07,2007-04-10,10:17:51,3.05,14,22504
DESIF2-IUN07,2007-04-10,10:18:01,3.05,1,22506
DESIF2-IUN07,2007-04-10,10:18:07,3.05,10,22526
DESIF2-IUN07,2007-04-10,10:18:33,3.05,2,22530
DESIF2-IUN07,2007-04-10,10:19:30,3.05,2,22532
DESIF2-IUN07,2007-04-10,10:20:17,3.05,1,22532
DESIF2-IUN07,2007-04-10,10:20:33,3.05,18,22532
DESIF2-IUN07,2007-04-10,10:21:14,3.0545,5,22532
DESIF2-IUN07,2007-04-10,10:24:48,3.05,2,22528
DESIF2-IUN07,2007-04-10,10:25:40,3.05,5,22518
DESIF2-IUN07,2007-04-10,10:25:45,3.05,12,22494
DESIF2-IUN07,2007-04-10,10:25:51,3.05,1,22492
DESIF2-IUN07,2007-04-10,10:26:01,3.054,1,22492
DESIF2-IUN07,2007-04-10,10:26:17,3.05,1,22492
DESIF2-IUN07,2007-04-10,10:26:22,3.05,1,22494
DESIF2-IUN07,2007-04-10,10:27:14,3.05,1,22496
DESIF2-IUN07,2007-04-10,10:28:32,3.053,20,22496
DESIF2-IUN07,2007-04-10,10:32:42,3.05,10,22516
DESIF2-IUN07,2007-04-10,10:32:58,3.05,20,22486
DESIF2-IUN07,2007-04-10,10:34:16,3.05,6,22486
DESIF2-IUN07,2007-04-10,10:34:47,3.053,40,22486
DESIF2-IUN07,2007-04-10,10:36:21,3.0549,1,22486
DESIF2-IUN07,2007-04-10,10:36:42,3.053,5,22496
DESIF2-IUN07,2007-04-10,10:38:10,3.055,50,22520
DESIF2-IUN07,2007-04-10,10:38:21,3.055,10,22520
DESIF2-IUN07,2007-04-10,10:38:26,3.055,12,22516
DESIF2-IUN07,2007-04-10,10:38:42,3.056,1,22516
DESIF2-IUN07,2007-04-10,10:38:52,3.0579,1,22516
DESIF2-IUN07,2007-04-10,10:39:03,3.0579,5,22516
DESIF2-IUN07,2007-04-10,10:40:10,3.0595,30,22564
DESIF2-IUN07,2007-04-10,10:40:26,3.0595,10,22584
DESIF2-IUN07,2007-04-10,10:40:31,3.0595,20,22624
DESIF2-IUN07,2007-04-10,10:41:08,3.0599,30,22590
DESIF2-IUN07,2007-04-10,10:41:13,3.0599,20,22590
DESIF2-IUN07,2007-04-10,10:41:18,3.06,63,22596
DESIF2-IUN07,2007-04-10,10:41:44,3.06,10,22616
DESIF2-IUN07,2007-04-10,10:41:50,3.06,10,22636
DESIF2-IUN07,2007-04-10,10:42:00,3.06,6,22648
DESIF2-IUN07,2007-04-10,10:44:26,3.0639,10,22648
DESIF2-IUN07,2007-04-10,10:45:03,3.064,10,22668
DESIF2-IUN07,2007-04-10,10:45:24,3.064,1,22670
DESIF2-IUN07,2007-04-10,10:45:29,3.0649,3,22676
DESIF2-IUN07,2007-04-10,10:46:26,3.065,27,22680
DESIF2-IUN07,2007-04-10,10:48:48,3.065,7,22666
DESIF2-IUN07,2007-04-10,10:49:29,3.0641,5,22666
