DateTime,Price,Bid,Ask
20070706094933,3.715,3.7,3.7289
20070706095339,3.715,3.6811,3.7289
20070706095839,3.715,3.6811,3.7298
20070706100009,3.715,3.705,3.7298
20070706100024,3.7298,3.705,3.7399
20070706100041,3.7298,3.71,3.7398
20070706100043,3.7298,3.71,3.739
20070706100051,3.7298,3.71,3.73
20070706100052,3.7298,3.7101,3.73
20070706100058,3.7298,3.7102,3.73
20070706100101,3.7298,3.715,3.73
20070706100108,3.7298,3.7151,3.73
20070706100113,3.7298,3.725,3.73
20070706100123,3.73,3.725,3.735
20070706100206,3.73,3.726,3.735
20070706100224,3.735,3.735,3.7398
20070706100236,3.7399,3.74,3.7449
20070706100250,3.7449,3.74,3.7485
20070706100302,3.7485,3.74,3.749
20070706100318,3.74,3.7401,3.749
20070706100328,3.74,3.741,3.749
20070706100331,3.741,3.7401,3.749
20070706100340,3.749,3.74,3.749
20070706100351,3.749,3.74,3.7485
20070706100357,3.749,3.7401,3.7485
20070706100402,3.749,3.741,3.7485
20070706100403,3.749,3.741,3.749
20070706100435,3.749,3.741,3.7485
20070706100455,3.749,3.741,3.748
20070706100527,3.749,3.741,3.7479
20070706100533,3.749,3.741,3.747
20070706100607,3.74,3.736,3.74
20070706100618,3.74,3.736,3.7469
20070706100627,3.74,3.742,3.7469
20070706100637,3.742,3.736,3.742
20070706100725,3.742,3.736,3.7449
20070706100737,3.742,3.742,3.7449
20070706100743,3.742,3.742,3.7445
20070706100747,3.742,3.736,3.74
20070706100845,3.742,3.736,3.7399
20070706100902,3.742,3.736,3.7398
20070706100917,3.742,3.736,3.7399
20070706100924,3.74,3.74,3.7445
20070706100943,3.73,3.7225,3.73
20070706100954,3.73,3.73,3.74
20070706101007,3.73,3.73,3.7399
20070706101008,3.73,3.7301,3.7399
20070706101014,3.74,3.74,3.744
20070706101016,3.74,3.74,3.7445
20070706101020,3.74,3.74,3.745
20070706101021,3.748,3.74,3.748
20070706101041,3.748,3.74,3.7444
20070706101050,3.748,3.7401,3.7444
20070706101148,3.7444,3.74,3.7444
20070706101214,3.74,3.731,3.74
20070706101314,3.74,3.732,3.74
20070706101355,3.74,3.735,3.74
20070706101412,3.74,3.735,3.7399
20070706101416,3.73,3.7251,3.73
20070706101439,3.73,3.7251,3.732
20070706101612,3.732,3.7251,3.73
20070706101721,3.73,3.7251,3.732
20070706101848,3.73,3.7251,3.74
20070706101906,3.73,3.7252,3.74
20070706101910,3.73,3.726,3.74
20070706101940,3.73,3.73,3.74
20070706101954,3.73,3.7301,3.74
20070706102009,3.73,3.732,3.74
20070706102056,3.732,3.7301,3.74
20070706102116,3.732,3.7305,3.74
20070706102127,3.7305,3.7301,3.74
20070706102141,3.7301,3.7302,3.74
20070706102209,3.74,3.7301,3.74
20070706102224,3.74,3.74,3.744
20070706102301,3.745,3.745,3.747
20070706102314,3.745,3.7401,3.747
20070706102416,3.747,3.744,3.747
20070706102442,3.747,3.744,3.748
20070706102514,3.7488,3.744,3.7488
20070706102521,3.749,3.744,3.7493
20070706102526,3.75,3.744,3.75
20070706102542,3.75,3.75,3.7501
20070706102548,3.75,3.7441,3.7501
20070706102549,3.7501,3.7502,3.759
