Symbol,Date,Time,Price,Volume,OpenInterest
DESIF2-SEP08,2007-10-09,14:44:07,4.31,1,2
DESIF2-SEP08,2007-10-09,15:06:25,4.35,1,4
DESIF2-SEP08,2007-10-09,15:31:57,4.3,1,4
DESIF2-SEP08,2007-10-10,13:49:23,4.3,1,4
DESIF2-SEP08,2007-10-12,11:19:03,4.19,1,4
DESIF2-SEP08,2007-10-12,13:48:19,4.25,1,6
DESIF2-SEP08,2007-10-23,11:12:57,4.1,1,8
DESIF2-SEP08,2007-10-23,11:13:11,4.1,1,10
DESIF2-SEP08,2007-10-23,11:44:53,4.1899,4,12
DESIF2-SEP08,2007-10-23,15:40:06,4.18,2,16
DESIF2-SEP08,2007-11-01,14:46:12,4.12,1,14
DESIF2-SEP08,2007-11-05,11:58:40,4.1,2,18
DESIF2-SEP08,2007-11-06,12:03:36,4,3,24
DESIF2-SEP08,2007-11-14,13:52:32,3.95,1,26
DESIF2-SEP08,2007-11-15,11:43:36,3.95,1,26
DESIF2-SEP08,2007-11-15,12:46:00,3.999,1,28
DESIF2-SEP08,2007-11-15,14:17:40,3.999,2,28
DESIF2-SEP08,2007-11-16,12:15:37,3.9,1,30
DESIF2-SEP08,2007-11-16,12:35:55,3.9,2,30
DESIF2-SEP08,2007-11-20,11:42:54,3.8,1,32
DESIF2-SEP08,2007-11-20,12:02:32,3.8,1,34
DESIF2-SEP08,2007-11-20,12:07:00,3.8,1,34
DESIF2-SEP08,2007-11-20,14:56:37,3.9,1,34
DESIF2-SEP08,2007-11-20,15:58:01,3.8003,1,34
DESIF2-SEP08,2007-11-21,10:00:51,3.8,1,34
DESIF2-SEP08,2007-11-21,10:22:03,3.82,1,34
DESIF2-SEP08,2007-11-21,10:38:01,3.82,1,34
DESIF2-SEP08,2007-11-21,10:49:23,3.78,1,36
DESIF2-SEP08,2007-11-21,10:50:43,3.78,1,36
DESIF2-SEP08,2007-11-21,11:05:49,3.77,1,38
DESIF2-SEP08,2007-11-21,11:22:49,3.79,1,38
DESIF2-SEP08,2007-11-21,11:37:01,3.77,1,40
DESIF2-SEP08,2007-11-21,13:02:31,3.7003,1,40
DESIF2-SEP08,2007-11-21,13:04:19,3.7,1,42
DESIF2-SEP08,2007-11-21,13:07:27,3.55,1,40
DESIF2-SEP08,2007-11-21,13:52:05,3.7,1,42
DESIF2-SEP08,2007-11-21,14:57:39,3.7,1,44
DESIF2-SEP08,2007-11-22,12:13:25,3.71,3,50
DESIF2-SEP08,2007-11-22,12:26:07,3.705,1,52
DESIF2-SEP08,2007-11-22,13:22:23,3.705,1,54
DESIF2-SEP08,2007-11-22,14:31:25,3.61,1,54
DESIF2-SEP08,2007-11-22,14:54:29,3.55,1,56
DESIF2-SEP08,2007-11-23,13:59:22,3.635,1,56
DESIF2-SEP08,2007-11-23,14:49:52,3.75,1,58
DESIF2-SEP08,2007-11-23,15:58:30,3.78,1,60
DESIF2-SEP08,2007-11-26,15:50:00,3.7501,1,58
DESIF2-SEP08,2007-11-26,15:50:16,3.75,1,60
DESIF2-SEP08,2007-11-27,11:39:01,3.75,1,60
DESIF2-SEP08,2007-11-27,14:01:38,3.75,1,62
DESIF2-SEP08,2007-11-27,15:11:12,3.75,1,64
DESIF2-SEP08,2007-11-29,11:52:29,3.801,1,66
DESIF2-SEP08,2007-11-30,10:13:25,3.84,1,68
DESIF2-SEP08,2007-11-30,10:19:49,3.8615,1,68
DESIF2-SEP08,2007-11-30,15:59:41,3.9999,1,70
DESIF2-SEP08,2007-12-03,13:13:27,3.9,1,70
DESIF2-SEP08,2007-12-03,15:04:59,3.965,2,70
DESIF2-SEP08,2007-12-04,11:00:28,3.95,1,70
DESIF2-SEP08,2007-12-04,11:25:44,3.95,1,70
DESIF2-SEP08,2007-12-04,12:31:28,3.988,2,70
DESIF2-SEP08,2007-12-04,12:31:54,3.988,2,70
DESIF2-SEP08,2007-12-04,15:59:39,3.9,1,70
DESIF2-SEP08,2007-12-05,11:32:32,3.975,1,70
DESIF2-SEP08,2007-12-05,12:09:30,3.98,1,70
DESIF2-SEP08,2007-12-05,12:17:10,3.99,1,68
DESIF2-SEP08,2007-12-06,14:11:57,4.05,1,70
DESIF2-SEP08,2007-12-10,15:37:25,4.095,1,70
DESIF2-SEP08,2007-12-13,14:23:07,3.905,3,72
DESIF2-SEP08,2007-12-19,10:04:22,4.03,1,70
DESIF2-SEP08,2007-12-19,13:34:53,3.9003,1,70
DESIF2-SEP08,2007-12-19,13:41:45,3.9003,1,70
DESIF2-SEP08,2007-12-19,14:34:29,3.9999,1,72
DESIF2-SEP08,2007-12-20,12:17:30,3.87,1,72
DESIF2-SEP08,2007-12-21,11:46:34,3.9999,2,76
DESIF2-SEP08,2007-12-21,14:50:04,3.99,1,78
DESIF2-SEP08,2007-12-21,15:53:42,3.99,3,78
DESIF2-SEP08,2008-01-03,12:17:39,3.9,1,74
DESIF2-SEP08,2008-01-03,13:27:56,3.83,1,74
DESIF2-SEP08,2008-01-03,13:28:41,3.83,1,74
DESIF2-SEP08,2008-01-03,13:32:38,3.83,2,74
DESIF2-SEP08,2008-01-03,13:43:56,3.8999,1,74
DESIF2-SEP08,2008-01-04,10:14:29,3.88,1,78
DESIF2-SEP08,2008-01-04,11:20:42,3.8899,1,78
DESIF2-SEP08,2008-01-04,11:20:42,3.89,1,78
DESIF2-SEP08,2008-01-04,11:20:42,3.9,1,78
DESIF2-SEP08,2008-01-04,15:34:27,3.85,1,78
DESIF2-SEP08,2008-01-04,15:34:27,3.85,1,78
DESIF2-SEP08,2008-01-04,15:46:11,3.83,1,78
DESIF2-SEP08,2008-01-07,10:00:07,3.81,1,100
DESIF2-SEP08,2008-01-07,10:14:32,3.8,1,100
DESIF2-SEP08,2008-01-07,11:03:26,3.74,1,100
DESIF2-SEP08,2008-01-07,11:03:26,3.75,5,100
DESIF2-SEP08,2008-01-07,12:33:23,3.75,2,100
DESIF2-SEP08,2008-01-07,12:54:08,3.75,1,100
DESIF2-SEP08,2008-01-07,12:54:27,3.75,1,100
