Symbol,Date,Time,Price,Volume,OpenInterest
DESNP-IUN07,2007-04-10,12:22:21,0.5849,13,2556
DESNP-IUN07,2007-04-10,12:45:42,0.5845,10,2536
DESNP-IUN07,2007-04-10,12:45:47,0.58,2,2536
DESNP-IUN07,2007-04-10,14:14:15,0.58,50,2536
DESNP-IUN07,2007-04-11,10:00:08,0.575,2,2536
DESNP-IUN07,2007-04-11,10:04:36,0.57,1,2536
DESNP-IUN07,2007-04-11,10:05:49,0.57,2,2536
DESNP-IUN07,2007-04-11,10:10:20,0.565,28,2558
DESNP-IUN07,2007-04-11,10:17:46,0.56,10,2558
DESNP-IUN07,2007-04-11,10:19:06,0.56,1,2560
DESNP-IUN07,2007-04-11,10:25:12,0.56,10,2568
DESNP-IUN07,2007-04-11,10:27:04,0.56,4,2568
DESNP-IUN07,2007-04-11,10:31:51,0.56,5,2578
DESNP-IUN07,2007-04-11,10:32:58,0.56,1,2578
DESNP-IUN07,2007-04-11,10:38:21,0.565,2,2578
DESNP-IUN07,2007-04-11,10:51:50,0.565,7,2578
DESNP-IUN07,2007-04-11,10:52:52,0.565,13,2584
DESNP-IUN07,2007-04-11,11:15:57,0.565,20,2624
DESNP-IUN07,2007-04-11,11:27:59,0.56,100,2644
DESNP-IUN07,2007-04-11,11:34:29,0.56,10,2644
DESNP-IUN07,2007-04-11,11:34:32,0.56,1,2642
DESNP-IUN07,2007-04-11,11:43:03,0.56,3,2642
DESNP-IUN07,2007-04-11,11:43:32,0.56,20,2676
DESNP-IUN07,2007-04-11,11:43:35,0.56,3,2682
DESNP-IUN07,2007-04-11,11:52:02,0.555,50,2582
DESNP-IUN07,2007-04-11,12:09:34,0.56,1,2584
DESNP-IUN07,2007-04-11,12:17:47,0.56,1,2586
DESNP-IUN07,2007-04-11,12:53:52,0.56,5,2586
DESNP-IUN07,2007-04-11,13:24:07,0.565,5,2596
DESNP-IUN07,2007-04-11,13:29:15,0.56,4,2588
DESNP-IUN07,2007-04-11,14:11:30,0.5675,1,2590
DESNP-IUN07,2007-04-11,14:24:53,0.5675,9,2608
DESNP-IUN07,2007-04-11,14:29:57,0.5675,1,2610
DESNP-IUN07,2007-04-11,14:55:07,0.57,50,2540
DESNP-IUN07,2007-04-11,14:55:26,0.57,5,2546
DESNP-IUN07,2007-04-11,14:55:42,0.57,5,2556
DESNP-IUN07,2007-04-12,11:04:50,0.5595,2,2558
DESNP-IUN07,2007-04-12,12:16:16,0.56,1,2558
DESNP-IUN07,2007-04-12,12:26:10,0.569,1,2558
DESNP-IUN07,2007-04-12,12:31:58,0.569,1,2558
DESNP-IUN07,2007-04-12,13:25:03,0.569,1,2558
DESNP-IUN07,2007-04-13,10:03:52,0.57,2,2558
DESNP-IUN07,2007-04-13,11:16:22,0.57,5,2558
DESNP-IUN07,2007-04-13,11:32:08,0.57,2,2562
DESNP-IUN07,2007-04-13,13:33:08,0.57,1,2564
DESNP-IUN07,2007-04-13,15:23:11,0.57,1,2566
DESNP-IUN07,2007-04-16,11:55:41,0.5699,5,2566
DESNP-IUN07,2007-04-16,11:56:32,0.57,15,2566
DESNP-IUN07,2007-04-16,12:58:55,0.57,5,2566
DESNP-IUN07,2007-04-16,13:33:20,0.565,10,2566
DESNP-IUN07,2007-04-16,14:28:04,0.565,2,2562
DESNP-IUN07,2007-04-19,10:02:00,0.536,3,2568
DESNP-IUN07,2007-04-19,10:06:16,0.525,2,2568
DESNP-IUN07,2007-04-19,10:09:21,0.52,10,2568
DESNP-IUN07,2007-04-19,10:09:34,0.525,3,2568
DESNP-IUN07,2007-04-19,10:59:10,0.535,1,2566
DESNP-IUN07,2007-04-19,11:08:39,0.549,1,2566
DESNP-IUN07,2007-04-19,11:09:47,0.55,1,2566
DESNP-IUN07,2007-04-19,11:21:34,0.536,12,2566
DESNP-IUN07,2007-04-19,12:00:59,0.542,50,2566
