Symbol,Date,Time,Price,Volume,OpenInt
EUR/USD_RON-SEP14,21/07/2014,09:59:59,1.354,1,338
EUR/USD_RON-SEP14,21/07/2014,10:00:56,1.354,1,336
EUR/USD_RON-SEP14,21/07/2014,10:05:21,1.354,1,334
EUR/USD_RON-SEP14,21/07/2014,10:05:41,1.354,4,326
DEDJIA_RON-SEP14,21/07/2014,10:06:42,17025,2,1760
DEDJIA_RON-SEP14,21/07/2014,10:07:39,17015,6,1760
DEDJIA_RON-SEP14,21/07/2014,10:07:59,17004,1,1760
EUR/USD_RON-SEP14,21/07/2014,10:18:52,1.354,6,314
EUR/USD_RON-SEP14,21/07/2014,10:21:41,1.3535,4,306
DEDJIA_RON-SEP14,21/07/2014,10:46:02,17010,1,1762
DEDJIA_RON-SEP14,21/07/2014,10:46:12,17010,1,1764
DEDJIA_RON-SEP14,21/07/2014,10:46:17,17010,5,1774
DEDJIA_RON-SEP14,21/07/2014,10:46:28,17002,4,1780
DEDJIA_RON-SEP14,21/07/2014,10:46:33,17000,1,1782
DEDJIA_RON-SEP14,21/07/2014,11:12:24,16987,1,1782
DEDJIA_RON-SEP14,21/07/2014,11:17:54,16975,1,1782
DEDJIA_RON-SEP14,21/07/2014,11:30:02,16973,1,1782
DEDJIA_RON-SEP14,21/07/2014,11:30:54,16972,1,1782
DEDJIA_RON-SEP14,21/07/2014,11:47:58,16996,1,1782
DEDJIA_RON-SEP14,21/07/2014,12:15:25,17009,4,1790
DEDJIA_RON-SEP14,21/07/2014,12:19:21,17004,1,1792
EUR/USD_RON-SEP14,21/07/2014,12:36:31,1.3531,1,304
DEDJIA_RON-SEP14,21/07/2014,13:37:56,17000,3,1792
EUR/USD_RON-DEC14,21/07/2014,13:42:02,1.3549,1,156
EUR/USD_RON-SEP14,21/07/2014,13:44:51,1.3541,1,302
EUR/USD_RON-SEP14,21/07/2014,13:46:38,1.3541,1,300
DEDJIA_RON-SEP14,21/07/2014,13:56:46,17000,1,1794
DEDJIA_RON-SEP14,21/07/2014,14:10:23,17000,3,1798
DEDJIA_RON-SEP14,21/07/2014,14:13:06,16995,5,1808
EUR/USD_RON-SEP14,21/07/2014,14:41:20,1.3541,1,300
EUR/USD_RON-SEP14,21/07/2014,14:48:23,1.3541,1,298
EUR/USD_RON-SEP14,21/07/2014,14:49:35,1.3541,10,298
EUR/USD_RON-SEP14,21/07/2014,14:50:37,1.3541,4,290
DEDJIA_RON-SEP14,21/07/2014,15:40:27,16991,1,1810
DEDJIA_RON-SEP14,21/07/2014,16:04:40,16991,1,1812
DEDJIA_RON-SEP14,21/07/2014,16:06:53,16982,1,1814
DEDJIA_RON-SEP14,21/07/2014,16:32:04,16982,1,1816
DEDJIA_RON-SEP14,21/07/2014,16:32:26,16976,1,1816
DEDJIA_RON-SEP14,21/07/2014,16:35:24,16975,4,1824
DEDJIA_RON-SEP14,21/07/2014,16:35:35,16973,1,1824
DEDJIA_RON-SEP14,21/07/2014,17:01:08,16960,1,1822
DEDJIA_RON-DEC14,21/07/2014,17:11:38,16886,1,216
DEDJIA_RON-SEP14,21/07/2014,17:15:39,16954,1,1822
DEDJIA_RON-SEP14,21/07/2014,17:17:26,16999,2,1822
DEDJIA_RON-SEP14,21/07/2014,17:18:53,16960,1,1822
DEDJIA_RON-SEP14,21/07/2014,17:36:12,16941,1,1822
DEDJIA_RON-SEP14,21/07/2014,17:37:44,16941,1,1822
DEDJIA_RON-DEC14,21/07/2014,17:37:49,16870,1,216
DEDJIA_RON-SEP14,21/07/2014,17:37:54,16940,5,1832
DEDJIA_RON-SEP14,21/07/2014,17:39:11,16940,1,1832
DEDJIA_RON-DEC14,21/07/2014,17:39:26,16870,1,216
DEDJIA_RON-SEP14,21/07/2014,17:43:16,16931,1,1832
DEDJIA_RON-SEP14,21/07/2014,17:44:01,16928,1,1832
DEDJIA_RON-SEP14,21/07/2014,17:50:55,16928,5,1826
DEDJIA_RON-SEP14,21/07/2014,17:51:51,16928,6,1826
DEDJIA_RON-SEP14,21/07/2014,18:02:44,16925,44,1834
DEDJIA_RON-DEC14,21/07/2014,18:02:54,16857,3,216
DEDJIA_RON-DEC14,21/07/2014,18:03:15,16855,1,216
DEDJIA_RON-SEP14,21/07/2014,18:04:05,16925,1,1834
DEDJIA_RON-SEP14,21/07/2014,18:56:27,16954,1,1834
DEDJIA_RON-SEP14,21/07/2014,19:59:06,16970,1,1836
DEDJIA_RON-SEP14,21/07/2014,20:25:41,16970,2,1836
DEDJIA_RON-SEP14,21/07/2014,20:28:30,16985,1,1838
DEDJIA_RON-SEP14,21/07/2014,20:57:42,16994,1,1838
DEDJIA_RON-SEP14,21/07/2014,21:16:45,17009,1,1838
DEDJIA_RON-SEP14,21/07/2014,21:27:09,17002,2,1838
DEDJIA_RON-SEP14,21/07/2014,21:28:00,17000,1,1838
DEDJIA_RON-SEP14,21/07/2014,21:28:05,17000,1,1838
DEDJIA_RON-SEP14,21/07/2014,21:30:27,17000,1,1838
DEDJIA_RON-SEP14,21/07/2014,22:43:32,17000,2,1838
