Symbol,Settle Date,Open,Max,Min,Settle,Medium price,Var,Var (%),Trades,Contracts,Open int,Data
BIO,CFD,0,0,0,0.3,0,0,0,0,0,0,2014-07-01 23:20:17
BRD,CFD,0,0,0,9.04,0,0,0,0,0,0,2014-07-01 23:20:17
BRK,CFD,0,0,0,0.1362,0,0,0,0,0,0,2014-07-01 23:20:17
BVB,CFD,0,0,0,29.9,0,0,0,0,0,0,2014-07-01 23:20:17
DEADD,SEP14,0,0,0,73.85,0,-0.12,-0.1622,0,0,0,2014-07-01 23:20:17
DEADD,DEC14,0,0,0,78,0,0,0,0,0,0,2014-07-01 23:20:17
DEAPL,SEP14,0,0,0,93.55,0,0.05,0.0535,0,0,2,2014-07-01 23:20:17
DEAPL,DEC14,0,0,0,93,0,0,0,0,0,0,2014-07-01 23:20:17
DEBAY,SEP14,0,0,0,105.3,0,1.9,1.8375,0,0,0,2014-07-01 23:20:17
DEBAY,DEC14,0,0,0,103,0,0,0,0,0,0,2014-07-01 23:20:17
DEBIO,SEP14,0,0,0,0.3,0,0,0,0,0,0,2014-07-01 23:20:17
DEBIO,DEC14,0,0,0,0.3,0,0,0,0,0,0,2014-07-01 23:20:17
DEBIO,MAR15,0,0,0,0.3,0,0,0,0,0,0,2014-07-01 23:20:17
DEBIO,IUN15,0,0,0,0.3,0,0,0,0,0,0,2014-07-01 23:20:17
DEBMW,SEP14,0,0,0,93.25,0,0.5,0.5391,0,0,2,2014-07-01 23:20:17
DEBMW,DEC14,0,0,0,90,0,0,0,0,0,0,2014-07-01 23:20:17
DEBRD,SEP14,0,0,0,8.4,0,0,0,0,0,0,2014-07-01 23:20:17
DEBRD,DEC14,0,0,0,8.4,0,0,0,0,0,0,2014-07-01 23:20:17
DEBRD,MAR15,0,0,0,9,0,0,0,0,0,0,2014-07-01 23:20:17
DEBRD,IUN15,0,0,0,9,0,0,0,0,0,0,2014-07-01 23:20:17
DEBRK,SEP14,0,0,0,0.12,0,0,0,0,0,0,2014-07-01 23:20:17
DEBRK,DEC14,0,0,0,0.12,0,0,0,0,0,0,2014-07-01 23:20:17
