writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
this,this,demonstrativePronoun,,singular,,,,,
these,these,demonstrativePronoun,,plural,,,,,
that,that,demonstrativePronoun,,singular,,,,,
those,those,demonstrativePronoun,,plural,,,,,
former,former,demonstrativePronoun,,,,,,,
latter,latter,demonstrativePronoun,,,,,,,
other,other,demonstrativePronoun,,singular,,,,,
others,others,demonstrativePronoun,,plural,,,,,
same,same,demonstrativePronoun,,,,,,,
so,so,demonstrativePronoun,,,,,,,
such,such,demonstrativePronoun,,,,,,,
such-and-such,such-and-such,demonstrativePronoun,,,,,,,
suchlike,suchlike,demonstrativePronoun,,,,,,,
one,one,demonstrativePronoun,,singular,,,,,
ones,ones,demonstrativePronoun,,plural,,,,,
