writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
ca,can,modal,,,,,,,present
can,can,modal,,,,,,,present
could,can,modal,,,,,,,past
dare,dare,modal,,,,,,,
did,do,verb,,,,,,indicative,past
had,have,verb,,,,,,indicative,past
has,have,verb,,singular,,thirdPerson,,indicative,present
have,have,verb,,,,,,indicative,present
may,may,modal,,,,,,,present
might,may,modal,,,,,,,past
must,must,modal,,,,,,,
need,need,modal,,,,,,,
ought,ought_to,modal,,,,,,,
shall,shall,modal,,,,,,,present
should,shall,modal,,,,,,,past
used,used_to,modal,,,,,,,
'd,will,modal,,,,,,,past
'll,will,modal,,,,,,,present
will,will,modal,,,,,,,present
would,will,modal,,,,,,,past
wo,will,modal,,,,,,,present
sha,shall,modal,,,,,,,present
