form,lemma,pos,gender,number,wcase,person,comp,mood,tense
accordingly,accordingly,CjCRD,,,,,,,
and,and,CjCRD,,,,,,,
and...as_well,and...as_well,CjCRD,,,,,,,
as_well_as,as_well_as,CjCRD,,,,,,,
besides,besides,CjCRD,,,,,,,
both..and,both..and,CjCRD,,,,,,,
but,but,CjCRD,,,,,,,
consequently,consequently,CjCRD,,,,,,,
either…or,either…or,CjCRD,,,,,,,
else,else,CjCRD,,,,,,,
for_example,for_example,CjCRD,,,,,,,
for_instance,for_instance,CjCRD,,,,,,,
further,further,CjCRD,,,,,,,
furthermore,furthermore,CjCRD,,,,,,,
hence,hence,CjCRD,,,,,,,
let_us_say,let_us_say,CjCRD,,,,,,,
let's_say,let's_say,CjCRD,,,,,,,
namely,namely,CjCRD,,,,,,,
neither…nor,neither…nor,CjCRD,,,,,,,
no_less_than,no_less_than,CjCRD,,,,,,,
not_only…but…too,not_only…but…too,CjCRD,,,,,,,
not…but_also,not…but_also,CjCRD,,,,,,,
not…either,not…either,CjCRD,,,,,,,
on_that_account,on_that_account,CjCRD,,,,,,,
or,or,CjCRD,,,,,,,
or_else,or_else,CjCRD,,,,,,,
otherwise,otherwise,CjCRD,,,,,,,
say,say,CjCRD,,,,,,,
so,so,CjCRD,,,,,,,
such_as,such_as,CjCRD,,,,,,,
that_is,that_is,CjCRD,,,,,,,
that_is_to_say,that_is_to_say,CjCRD,,,,,,,
that_is_why,that_is_why,CjCRD,,,,,,,
then,then,CjCRD,,,,,,,
therefore,therefore,CjCRD,,,,,,,
whereas,whereas,CjCRD,,,,,,,
while,while,CjCRD,,,,,,,
after,after,CjSUB,,,,,,,
although,although,CjSUB,,,,,,,
and_so,and_so,CjSUB,,,,,,,
as,as,CjSUB,,,,,,,
as_if,as_if,CjSUB,,,,,,,
as_long_as,as_long_as,CjSUB,,,,,,,
as_soon_as,as_soon_as,CjSUB,,,,,,,
as_though,as_though,CjSUB,,,,,,,
because,because,CjSUB,,,,,,,
before,before,CjSUB,,,,,,,
but_for,but_for,CjSUB,,,,,,,
by_the_time,by_the_time,CjSUB,,,,,,,
considering,considering,CjSUB,,,,,,,
considering_that,considering_that,CjSUB,,,,,,,
despite,despite,CjSUB,,,,,,,
despite_the_fact_that,despite_the_fact_that,CjSUB,,,,,,,
each_time,each_time,CjSUB,,,,,,,
even_if,even_if,CjSUB,,,,,,,
even_though,even_though,CjSUB,,,,,,,
every_time,every_time,CjSUB,,,,,,,
except_that,except_that,CjSUB,,,,,,,
for_the_reason_that,for_the_reason_that,CjSUB,,,,,,,
hardly…when,hardly…when,CjSUB,,,,,,,
how,how,CjSUB,,,,,,,
however,however,CjSUB,,,,,,,
however_long,however_long,CjSUB,,,,,,,
however_much,however_much,CjSUB,,,,,,,
if,if,CjSUB,,,,,,,
in_case,in_case,CjSUB,,,,,,,
in_order_that,in_order_that,CjSUB,,,,,,,
in_order_to,in_order_to,CjSUB,,,,,,,
in_spite_of,in_spite_of,CjSUB,,,,,,,
in_the_manner,in_the_manner,CjSUB,,,,,,,
in_the_way,in_the_way,CjSUB,,,,,,,
just_as,just_as,CjSUB,,,,,,,
lest,lest,CjSUB,,,,,,,
like,like,CjSUB,,,,,,,
long_before,long_before,CjSUB,,,,,,,
much_as,much_as,CjSUB,,,,,,,
next_time,next_time,CjSUB,,,,,,,
no_matter,no_matter,CjSUB,,,,,,,
no_matter_whether,no_matter_whether,CjSUB,,,,,,,
no_sooner…than,no_sooner…than,CjSUB,,,,,,,
not_that,not_that,CjSUB,,,,,,,
notwithstanding,notwithstanding,CjSUB,,,,,,,
notwithstanding_the_fact,notwithstanding_the_fact,CjSUB,,,,,,,
now_that,now_that,CjSUB,,,,,,,
of_which,of_which,CjSUB,,,,,,,
on_condition_that,on_condition_that,CjSUB,,,,,,,
once,once,CjSUB,,,,,,,
only_if,only_if,CjSUB,,,,,,,
provided,provided,CjSUB,,,,,,,
provided_that,provided_that,CjSUB,,,,,,,
providing,providing,CjSUB,,,,,,,
providing_that,providing_that,CjSUB,,,,,,,
scarcely…when,scarcely…when,CjSUB,,,,,,,
since,since,CjSUB,,,,,,,
so,so,CjSUB,,,,,,,
so_as_to,so_as_to,CjSUB,,,,,,,
so_that,so_that,CjSUB,,,,,,,
such_that,such_that,CjSUB,,,,,,,
supposing,supposing,CjSUB,,,,,,,
supposing_that,supposing_that,CjSUB,,,,,,,
than,than,CjSUB,,,,,,,
that,that,CjSUB,,,,,,,
the_last_time,the_last_time,CjSUB,,,,,,,
the_moment,the_moment,CjSUB,,,,,,,
the_next_time,the_next_time,CjSUB,,,,,,,
the_way,the_way,CjSUB,,,,,,,
though,though,CjSUB,,,,,,,
till,till,CjSUB,,,,,,,
to,to,CjSUB,,,,,,,
to_anyone,to_anyone,CjSUB,,,,,,,
to_what,to_what,CjSUB,,,,,,,
to_whoever,to_whoever,CjSUB,,,,,,,
to_whom,to_whom,CjSUB,,,,,,,
unless,unless,CjSUB,,,,,,,
until,until,CjSUB,,,,,,,
what,what,CjSUB,,,,,,,
whatever,whatever,CjSUB,,,,,,,
when,when,CjSUB,,,,,,,
whenever,whenever,CjSUB,,,,,,,
where,where,CjSUB,,,,,,,
wheresoever,wheresoever,CjSUB,,,,,,,
wherever,wherever,CjSUB,,,,,,,
whether,whether,CjSUB,,,,,,,
which,which,CjSUB,,,,,,,
whichever,whichever,CjSUB,,,,,,,
while,while,CjSUB,,,,,,,
who,who,CjSUB,,,,,,,
whoever,whoever,CjSUB,,,,,,,
whom,whom,CjSUB,,,,,,,
whose,whose,CjSUB,,,,,,,
why,why,CjSUB,,,,,,,
whysoever,whysoever,CjSUB,,,,,,,
