form,lemma,pos,gender,number,wcase,person,comp,mood,tense
all,all,PnIDF,,,,,,,
both,both,PnIDF,,,,,,,
either,either,PnIDF,,,,,,,
neither,neither,PnIDF,,,,,,,
each,each,PnIDF,,,,,,,
much,much,PnIDF,,,,,,,
many,many,PnIDF,,,,,,,
more,more,PnIDF,,,,,,,
most,most,PnIDF,,,,,,,
another,another,PnIDF,,,,,,,
others,others,PnIDF,,,,,,,
several,several,PnIDF,,,,,,,
enough,enough,PnIDF,,,,,,,
everybody,everybody,PnIDF,,,,,,,
everything,everything,PnIDF,,,,,,,
everyone,everyone,PnIDF,,,,,,,
some,some,PnIDF,,,,,,,
any,any,PnIDF,,,,,,,
none,none,PnIDF,,,,,,,
somebody,somebody,PnIDF,,,,,,,
something,something,PnIDF,,,,,,,
someone,someone,PnIDF,,,,,,,
anybody,anybody,PnIDF,,,,,,,
anything,anything,PnIDF,,,,,,,
anyone,anyone,PnIDF,,,,,,,
nobody,nobody,PnIDF,,,,,,,
nothing,nothing,PnIDF,,,,,,,
enough,enough,PnIDF,,,,,,,
several,several,PnIDF,,,,,,,
one,one,PnIDF,,,,,,,
you,you,PnIDF,,,,,,,
they,they,PnIDF,,,,,,,
