writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
all,all,indefiniteDeterminer,,,,,,,
another,another,indefiniteDeterminer,,,,,,,
any,any,indefiniteDeterminer,,,,,,,
both,both,indefiniteDeterminer,,,,,,,
both_the,both_the,indefiniteDeterminer,,,,,,,
each,each,indefiniteDeterminer,,,,,,,
each_other,each_other,indefiniteDeterminer,,,,,,,
either,either,indefiniteDeterminer,,,,,,,
enough,enough,indefiniteDeterminer,,,,,,,
every,every,indefiniteDeterminer,,,,,,,
every,every,indefiniteDeterminer,,,,,,,
every_bit,every_bit,indefiniteDeterminer,,,,,,,
every_inch,every_inch,indefiniteDeterminer,,,,,,,
every_now_and_then,every_now_and_then,indefiniteDeterminer,,,,,,,
every_right,every_right,indefiniteDeterminer,,,,,,,
every_so_often,every_so_often,indefiniteDeterminer,,,,,,,
every-other,every-other,indefiniteDeterminer,,,,,,,
most,most,indefiniteDeterminer,,,,,,,
neither,neither,indefiniteDeterminer,,,,,,,
no,no,indefiniteDeterminer,,,,,,,
other,other,indefiniteDeterminer,,,,,,,
several,several,indefiniteDeterminer,,,,,,,
some,some,indefiniteDeterminer,,,,,,,
whole,whole,indefiniteDeterminer,,,,,,,
