brave,98
disarm,10.6,31.1
efface,44
twang,43.2
jitterbug,51.5
zoom,51.3.2
clutter,9.8
augment,45.4
surmise,29.5-1
compete,36.4-1
cripple,29.7
slope,47.6
degenerate,45.4
impel,59
joke,37.6
cage,9.10
jet,43.4,51.4.1
alternate,86.1,22.2-2-1
brawl,36.4-1
naturalize,45.4
heel,9.9
regard,30.2,29.2
flaunt,48.1.2
meet,36.3-1,47.8-1
toll,43.2
spew,43.4,9.5
dawn,48.1.1
reinstate,13.5.3
scrape,10.4.1-1,21.1-1,9.3-2
forbid,67
effeminate,45.4
steady,45.4
clouded,45.4
officiate,29.6
piss,40.1.2
truck,11.5-1
debur,10.8
dissipate,45.4
proffer,48.1.2,13.2-2
daze,31.1
debug,10.8
drip,43.4,9.5
transform,26.6.1
guard,29.8-1
misappropriate,10.5
whack,18.1
pity,31.2
crouch,47.6,50
grope,20-1,35.5
erupt,48.1.1
reverberate,47.4
suffer,31.3-4,31.2
join,73-1,22.1-2-1
amalgamate,22.1-1-1,22.2-1-1
pirouette,51.5
burgeon,45.5
analyze,34.1
pith,10.7
resonate,47.4
overcook,45.3
groom,41.1.2
splice,22.3-2-1
suspend,9.2-1
fancy,31.2,32.1
drop,47.7,51.3.1,10.10,45.6-1,9.4
jab,19,18.1-1
dilate,45.4
echo,47.4
saute,45.3
interchange,22.2-2-1
jar,31.4-2,31.1,9.10
plaster,9.9,9.7-1,22.4
stipple,9.8
jam,9.7-1-1,40.8.3
undulate,47.3,47.7,51.3.1
canonize,29.7
salvage,10.5
apprehend,87.2-1
rationalize,97.2,84
spat,36.4-1
station,9.1
bolshevize,45.4
imprecate,33
amble,51.3.2
double,45.4
shampoo,41.2.2
mislead,59
massacre,42.1
stutter,37.3
tremble,47.3,40.6
weary,31.3-6,31.1
unstaple,23.3
deduce,97.2,84
wangle,10.5
spar,36.4-1
toot,43.2
span,47.8
update,37.2
get_down,26.6.2
grab,10.5,15.1-1,13.5.2
connect,22.1-2-1
heft,11.4
jolt,59,31.1
deduct,10.1,108-2,97.2
rap,37.6,18.4-1,43.2,18.1-1
organize,26.4,59-1,55.5-1
disturb,31.1
barter,13.6
normalize,45.4
steepen,45.4
treasure,31.2
espy,30.2
lament,31.2
fuel,9.9
admonish,58.1,37.9-1
hinder,67
knell,43.2
dominate,47.8-2
vacillate,47.3
stamp_down,42.3
depose,10.1
cellar,9.10
declaw,10.8
gray,45.4
peruse,30.2
confront,98
ding,43.2
deport,10.2
dine,39.5
flush,40.1.1,10.4.1
ram,18.4-1,9.3-2-1
humidify,45.4
brown,45.3
exhaust,31.1
pass_out,13.2
unroll,45.2
whirl,9.6,51.3.1
scrawk,38
lower,45.6-1,9.4
implore,58.1
riddle,9.8
scrawl,25.2
rock,49,47.3
subside,45.4
settle_down,26.6.2
help,72-1
addict,96
border,47.8
purge,10.6,10.4.1
reappraise,54.4
coalesce,48.1.1,22.1-1-1,22.2-1-1,22.2-2-1
elect,29.1
support,47.8,72,31.2
rot,45.5,47.2
anoint,9.8,29.3-1
identify,29.2-1-1,88.2
writhe,47.3,40.6
baste,22.3-2
resign,13.2,10.11
fructify,45.4
robe,41.3.3,9.9,9.8
unbolt,23.3
row,51.4.2,11.5
scent,30.2
teethe,39.2-1
rob,10.6
calve,28
suppose,29.9-2
regain,13.5.2
tango,51.5
weave,47.7,51.3.2,26.1
bring_about,27,55.5-1
branch,23.4
roam,51.3.2
hangar,9.10
unnerve,31.1
roar,57,43.2,37.3,38
muse,31.3-8
shawl,9.9
express,48.1.2,11.1-1
paddywhack,18.3
jog,51.3.2
deviate,23.4
reside,47.1-1,46
atomize,45.4
reelect,29.1
melt,26.5,45.4
drowse,40.4
teeter,49,47.3
retort,37.7
meld,22.1-1-1
recall,10.2
whale,13.7
strengthen,45.4
telephone,37.4
embitter,45.4
bewitch,31.1
formulate,26.4,26.1
skewer,22.4,9.10
regale,13.4.2-1
reanimate,45.4
hand_out,13.2
shave,41.2.1,41.1.1,10.4.1
whinny,38
whine,37.8,43.2,37.3,38
macerate,45.4
jig,51.5
incriminate,33
pray,32.2-1
recast,29.2
wrap,9.7-1
indict,33
asphyxiate,40.7,42.2
impregnate,9.8
contract,45.4,13.5.3,89
force_out,10.10
wreathe,9.9,47.8
groan,40.2,43.2,37.3,38
imitate,25.4
herd,22.3-2,47.5.2
ripple,9.8,47.2
polish,9.9,10.4.1
buttonhole,9.9
decay,45.5,47.2
manipulate,59-1
grip,15.1-1,20-1
blossom,45.5,47.2
grin,40.2
repudiate,33
sight,30.2
unhitch,23.3
toil,51.3.2
drum,40.3.2,18.1-1
develop,48.1.1,26.2,48.3,26.1
drug,9.9
tease,41.2.2,31.1,35.6,59-1
tally_up,25.4
rip,23.2,21.1-1,45.1
puzzle,31.3-8,31.1
hearten,31.1
lampoon,33
dive,35.2,47.7
dodge,52
brood,87.1
slacken,45.4
offer,48.1.2,13.3
emaciate,45.4
accede,95
break_down,45.1
rim,47.8
equilibrate,45.4
meow,38
rid,10.6
advance,13.3,45.4,51.1-2,102,45.6-1
slander,33
sugar,9.9
deride,33
replenish,9.8
flop,47.6,50
appear,48.1.1,109
understand,77,87.2-1
wield,15.1-1
speculate,29.5-1
maintain,29.4-1,29.5-2,55.6
