writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
apart,apart,adposition,,,,,,,
aside,aside,adposition,,,,,,,
notwithstanding,notwithstanding,adposition,,,,,,,
on,on,adposition,,,,,,,
through,through,adposition,,,,,,,
ago,ago,postposition,,,,,,,
away,away,postposition,,,,,,,
hence,hence,postposition,,,,,,,
withal,withal,postposition,,,,,,,
aboard,aboard,preposition,,,,,,,
about,about,preposition,,,,,,,
above,above,preposition,,,,,,,
abroad,abroad,preposition,,,,,,,
according_to,according_to,preposition,,,,,,,
across,across,preposition,,,,,,,
after,after,preposition,,,,,,,
against,against,preposition,,,,,,,
ahead_of,ahead_of,preposition,,,,,,,
all_over,all_over,preposition,,,,,,,
along,along,preposition,,,,,,,
alongside,alongside,preposition,,,,,,,
amid,amid,preposition,,,,,,,
amidst,amidst,preposition,,,,,,,
among,among,preposition,,,,,,,
amongst,amongst,preposition,,,,,,,
anent,anent,preposition,,,,,,,
anti,anti,preposition,,,,,,,
apart_from,apart_from,preposition,,,,,,,
around,around,preposition,,,,,,,
as,as,preposition,,,,,,,
as_far_as,as_far_as,preposition,,,,,,,
as_for,as_for,preposition,,,,,,,
as_of,as_of,preposition,,,,,,,
as_per,as_per,preposition,,,,,,,
as_regards,as_regards,preposition,,,,,,,
as_well_as,as_well_as,preposition,,,,,,,
aside_from,aside_from,preposition,,,,,,,
astride,astride,preposition,,,,,,,
at,at,preposition,,,,,,,
at_the_back_of,at_the_back_of,preposition,,,,,,,
athwart,athwart,preposition,,,,,,,
atop,atop,preposition,,,,,,,
away_from,away_from,preposition,,,,,,,
barring,barring,preposition,,,,,,,
because_of,because_of,preposition,,,,,,,
before,before,preposition,,,,,,,
behind,behind,preposition,,,,,,,
behither,behither,preposition,,,,,,,
below,below,preposition,,,,,,,
beneath,beneath,preposition,,,,,,,
beside,beside,preposition,,,,,,,
besides,besides,preposition,,,,,,,
between,between,preposition,,,,,,,
betwixt,betwixt,preposition,,,,,,,
beyond,beyond,preposition,,,,,,,
but,but,preposition,,,,,,,
by,by,preposition,,,,,,,
by_means_of,by_means_of,preposition,,,,,,,
by_reason_of,by_reason_of,preposition,,,,,,,
by_the_side_of,by_the_side_of,preposition,,,,,,,
circa,circa,preposition,,,,,,,
close_by,close_by,preposition,,,,,,,
close_to,close_to,preposition,,,,,,,
concerning,concerning,preposition,,,,,,,
cum,cum,preposition,,,,,,,
despite,despite,preposition,,,,,,,
down,down,preposition,,,,,,,
due_to,due_to,preposition,,,,,,,
during,during,preposition,,,,,,,
ere,ere,preposition,,,,,,,
except,except,preposition,,,,,,,
except_for,except_for,preposition,,,,,,,
excluding,excluding,preposition,,,,,,,
failing,failing,preposition,,,,,,,
far_from,far_from,preposition,,,,,,,
following,following,preposition,,,,,,,
for,for,preposition,,,,,,,
fornenst,fornenst,preposition,,,,,,,
fornent,fornent,preposition,,,,,,,
from,from,preposition,,,,,,,
given,given,preposition,,,,,,,
in,in,preposition,,,,,,,
in_accordance_with,in_accordance_with,preposition,,,,,,,
in_addition_to,in_addition_to,preposition,,,,,,,
in_between,in_between,preposition,,,,,,,
in_case_of,in_case_of,preposition,,,,,,,
in_front_of,in_front_of,preposition,,,,,,,
in_lieu_of,in_lieu_of,preposition,,,,,,,
in_opposition_to,in_opposition_to,preposition,,,,,,,
in_place_of,in_place_of,preposition,,,,,,,
in_point_of,in_point_of,preposition,,,,,,,
in_spite_of,in_spite_of,preposition,,,,,,,
in_to,in_to,preposition,,,,,,,
including,including,preposition,,,,,,,
inside,inside,preposition,,,,,,,
inside_of,inside_of,preposition,,,,,,,
instead_of,instead_of,preposition,,,,,,,
into,into,preposition,,,,,,,
like,like,preposition,,,,,,,
mid,mid,preposition,,,,,,,
minus,minus,preposition,,,,,,,
near,near,preposition,,,,,,,
near_to,near_to,preposition,,,,,,,
next,next,preposition,,,,,,,
next_to,next_to,preposition,,,,,,,
of,of,preposition,,,,,,,
off,off,preposition,,,,,,,
on_account_of,on_account_of,preposition,,,,,,,
on_behalf_of,on_behalf_of,preposition,,,,,,,
on_to,on_to,preposition,,,,,,,
on_top_of,on_top_of,preposition,,,,,,,
onto,onto,preposition,,,,,,,
opposite,opposite,preposition,,,,,,,
out,out,preposition,,,,,,,
out_from,out_from,preposition,,,,,,,
out_of,out_of,preposition,,,,,,,
outside,outside,preposition,,,,,,,
outside_of,outside_of,preposition,,,,,,,
outwith,outwith,preposition,,,,,,,
over,over,preposition,,,,,,,
owing_to,owing_to,preposition,,,,,,,
pace,pace,preposition,,,,,,,
past,past,preposition,,,,,,,
per,per,preposition,,,,,,,
plus,plus,preposition,,,,,,,
prior_to,prior_to,preposition,,,,,,,
pro,pro,preposition,,,,,,,
pursuant_to,pursuant_to,preposition,,,,,,,
qua,qua,preposition,,,,,,,
qua,qua,preposition,,,,,,,
re,re,preposition,,,,,,,
regarding,regarding,preposition,,,,,,,
regardless_of,regardless_of,preposition,,,,,,,
round,round,preposition,,,,,,,
sans,sans,preposition,,,,,,,
save,save,preposition,,,,,,,
since,since,preposition,,,,,,,
subsequent_to,subsequent_to,preposition,,,,,,,
than,than,preposition,,,,,,,
thanks_to,thanks_to,preposition,,,,,,,
that_of,that_of,preposition,,,,,,,
throughout,throughout,preposition,,,,,,,
till,till,preposition,,,,,,,
times,times,preposition,,,,,,,
together_with,together_with,preposition,,,,,,,
toward,toward,preposition,,,,,,,
towards,towards,preposition,,,,,,,
under,under,preposition,,,,,,,
underneath,underneath,preposition,,,,,,,
unlike,unlike,preposition,,,,,,,
until,until,preposition,,,,,,,
unto,unto,preposition,,,,,,,
up,up,preposition,,,,,,,
up_to,up_to,preposition,,,,,,,
up_until,up_until,preposition,,,,,,,
upon,upon,preposition,,,,,,,
versus,versus,preposition,,,,,,,
via,via,preposition,,,,,,,
vis-a-vis,vis-a-vis,preposition,,,,,,,
vs,vs,preposition,,,,,,,
with,with,preposition,,,,,,,
with_a_view_to,with_a_view_to,preposition,,,,,,,
with_regard_to,with_regard_to,preposition,,,,,,,
with_respect_to,with_respect_to,preposition,,,,,,,
within,within,preposition,,,,,,,
without,without,preposition,,,,,,,
worth,worth,preposition,,,,,,,
to,to,preposition,,,,,,,
