writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
aboard,aboard,RbPLC_Dst,,,,,,,
above,above,RbPLC,,,,,,,
abroad,abroad,RbPLC_DstPos,,,,,,,
ahead,ahead,RbPLC_DstPos,,,,,,,
aloft,aloft,RbPLC_Pos,,,,,,,
along,along,RbPLC_Dir,,,,,,,
anywhere,anywhere,RbPLC_Pos,,,,,,,
around,around,RbPLC_DirPos,,,,,,,
ashore,ashore,RbPLC_DstPos,,,,,,,
away,away,RbPLC_Pos,,,,,,,
back,back,RbPLC_Dir,,,,,,,
back_and_forth,back_and_forth,RbPLC,,,,,,,
backward,backward,RbPLC_Dir,,,,,,,
backwards,backwards,RbPLC_Dir,,,,,,,
backwards_and_forwards,backwards_and_forwards,RbPLC,,,,,,,
behind,behind,RbPLC,,,,,,,
below,below,RbPLC,,,,,,,
beneath,beneath,RbPLC,,,,,,,
beside,beside,RbPLC,,,,,,,
between,between,RbPLC,,,,,,,
clockwise,clockwise,RbPLC_Dir,,,,,,,
downstairs,downstairs,RbPLC_DstPos,,,,,,,
downtown,downtown,RbPLC_Dst,,,,,,,
downward,downward,RbPLC_Dir,,,,,,,
east,east,RbPLC_Dir,,,,,,,
eastward,eastward,RbPLC_Dir,,,,,,,
eastwards,eastwards,RbPLC_Dir,,,,,,,
everywhere,everywhere,RbPLC_Pos,,,,,,,
forward,forward,RbPLC_Dir,,,,,,,
halfway,halfway,RbPLC_Pos,,,,,,,
heavenward,heavenward,RbPLC_Dst,,,,,,,
here,here,RbPLC_Pos,,,,,,,
here_and_there,here_and_there,RbPLC,,,,,,,
hither_and_thither,hither_and_thither,RbPLC,,,,,,,
home,home,RbPLC_Dst,,,,,,,
in_and_out_of,in_and_out_of,RbPLC,,,,,,,
in_between,in_between,RbPLC,,,,,,,
in_front_of,in_front_of,RbPLC,,,,,,,
indoors,indoors,RbPLC_Pos,,,,,,,
inland,inland,RbPLC_Pos,,,,,,,
inside,inside,RbPLC_Dst,,,,,,,
left,left,RbPLC_Dir,,,,,,,
midway,midway,RbPLC_Pos,,,,,,,
near,near,RbPLC_Dst,,,,,,,
near_off,near_off,RbPLC,,,,,,,
nearly,nearly,RbPLC_Pos,,,,,,,
next_door,next_door,RbPLC_Dst,,,,,,,
next_to,next_to,RbPLC,,,,,,,
north,north,RbPLC_Dir,,,,,,,
north-east,north-east,RbPLC_Dir,,,,,,,
northward,northward,RbPLC_Dir,,,,,,,
northwards,northwards,RbPLC_Dir,,,,,,,
north-west,north-west,RbPLC_Dir,,,,,,,
n't,not,Rb,,,,,,,
nowhere,nowhere,RbPLC_Pos,,,,,,,
offshore,offshore,RbPLC_Pos,,,,,,,
on,on,RbPLC_Dir,,,,,,,
opposite,opposite,RbPLC,,,,,,,
out_of_doors,out_of_doors,RbPLC_Dst,,,,,,,
outdoors,outdoors,RbPLC_DstPos,,,,,,,
outside,outside,RbPLC_Dst,,,,,,,
over,over,RbPLC,,,,,,,
overseas,overseas,RbPLC_DstPos,,,,,,,
right,right,RbPLC_Dir,,,,,,,
round,round,RbPLC_Dir,,,,,,,
round_and_round,round_and_round,RbPLC,,,,,,,
sideways,sideways,RbPLC_Dir,,,,,,,
somewhere,somewhere,RbPLC_Pos,,,,,,,
south,south,RbPLC_Dir,,,,,,,
south-east,south-east,RbPLC_Dir,,,,,,,
southward,southward,RbPLC_Dir,,,,,,,
southwards,southwards,RbPLC_Dir,,,,,,,
south-west,south-west,RbPLC_Dir,,,,,,,
there,there,RbPLC_DstPos,,,,,,,
to_and_fro,to_and_fro,RbPLC,,,,,,,
under,under,RbPLC_Pos,,,,,,,
underfoot,underfoot,RbPLC_Pos,,,,,,,
underground,underground,RbPLC_DstPos,,,,,,,
underneath,underneath,RbPLC,,,,,,,
underwater,underwater,RbPLC_Pos,,,,,,,
up,up,RbPLC_Dir,,,,,,,
up_and_down,up_and_down,RbPLC,,,,,,,
upstairs,upstairs,RbPLC_DstPos,,,,,,,
uptown,uptown,RbPLC_Dst,,,,,,,
upwards,upwards,RbPLC_Dir,,,,,,,
west,west,RbPLC_Dir,,,,,,,
westward,westward,RbPLC_Dir,,,,,,,
westwards,westwards,RbPLC_Dir,,,,,,,
