form,lemma,pos,gender,number,wcase,person,comp,mood,tense
too_much,too_much,Rb,,,,,,,
at_last,at_last,Rb,,,,,,,
on_time,on_time,Rb,,,,,,,
British_Museum,British_Museum,NnPRP,,,,,,,
high_time,high_time,NnCOM,,sng,,,,,
of_course,of_course,Rb,,,,,,,
stay_up,stay_up,Vb,,,,,,,
sit_up,sit_up,Vb,,,,,,,
take_care,take_care,Vb,,,,,,,
at_once,at_once,Rb,,,,,,,
much_as,much_as,Rb,,,,,,,
in_time,in_time,Rb,,,,,,,
on_time,on_time,Rb,,,,,,,
all_day_long,all_day_long,Rb,,,,,,,
go_to,go_to,Vb,,,,,,,
only_when,only_when,Rb,,,,,,,
only_if,only_if,Rb,,,,,,,
railway_station,railway_station,Nn,,,,,,,
railroad_station,railroad_station,Nn,,,,,,,
railroad_terminal,railroad_terminal,Nn,,,,,,,
train_station,train_station,Nn,,,,,,,
train_depot,train_depot,Nn,,,,,,,
