form,lemma,pos,gender,number,wcase,person,comp,mood,tense
all,all,PnIDF,,,,,,,
another,another,PnIDF,,,,,,,
any,any,PnIDF,,,,,,,
anybody,anybody,PnIDF,,,,,,,
anyone,anyone,PnIDF,,,,,,,
anything,anything,PnIDF,,,,,,,
both,both,PnIDF,,,,,,,
each,each,PnIDF,,,,,,,
either,either,PnIDF,,,,,,,
enough,enough,PnIDF,,,,,,,
enough,enough,PnIDF,,,,,,,
everybody,everybody,PnIDF,,,,,,,
everyone,everyone,PnIDF,,,,,,,
everything,everything,PnIDF,,,,,,,
many,many,PnIDF,,,,,,,
more,more,PnIDF,,,,,,,
most,most,PnIDF,,,,,,,
much,much,PnIDF,,,,,,,
neither,neither,PnIDF,,,,,,,
nobody,nobody,PnIDF,,,,,,,
none,none,PnIDF,,,,,,,
nothing,nothing,PnIDF,,,,,,,
one,one,PnIDF,,,,,,,
others,others,PnIDF,,,,,,,
several,several,PnIDF,,,,,,,
several,several,PnIDF,,,,,,,
some,some,PnIDF,,,,,,,
somebody,somebody,PnIDF,,,,,,,
someone,someone,PnIDF,,,,,,,
something,something,PnIDF,,,,,,,
they,they,PnIDF,,,,,,,
you,you,PnIDF,,,,,,,
