form,lemma,pos,gender,number,wcase,person,comp,mood,tense
apart,apart,Pp,,,,,,,
aside,aside,Pp,,,,,,,
notwithstanding,notwithstanding,Pp,,,,,,,
on,on,Pp,,,,,,,
through,through,Pp,,,,,,,
ago,ago,PpPOS,,,,,,,
away,away,PpPOS,,,,,,,
hence,hence,PpPOS,,,,,,,
withal,withal,PpPOS,,,,,,,
aboard,aboard,PpPRE,,,,,,,
about,about,PpPRE,,,,,,,
above,above,PpPRE,,,,,,,
abroad,abroad,PpPRE,,,,,,,
according_to,according_to,PpPRE,,,,,,,
across,across,PpPRE,,,,,,,
after,after,PpPRE,,,,,,,
against,against,PpPRE,,,,,,,
ahead_of,ahead_of,PpPRE,,,,,,,
all_over,all_over,PpPRE,,,,,,,
along,along,PpPRE,,,,,,,
alongside,alongside,PpPRE,,,,,,,
amid,amid,PpPRE,,,,,,,
amidst,amidst,PpPRE,,,,,,,
among,among,PpPRE,,,,,,,
amongst,amongst,PpPRE,,,,,,,
anent,anent,PpPRE,,,,,,,
anti,anti,PpPRE,,,,,,,
apart_from,apart_from,PpPRE,,,,,,,
around,around,PpPRE,,,,,,,
as,as,PpPRE,,,,,,,
as_far_as,as_far_as,PpPRE,,,,,,,
as_for,as_for,PpPRE,,,,,,,
as_of,as_of,PpPRE,,,,,,,
as_per,as_per,PpPRE,,,,,,,
as_regards,as_regards,PpPRE,,,,,,,
as_well_as,as_well_as,PpPRE,,,,,,,
aside_from,aside_from,PpPRE,,,,,,,
astride,astride,PpPRE,,,,,,,
at,at,PpPRE,,,,,,,
at_the_back_of,at_the_back_of,PpPRE,,,,,,,
athwart,athwart,PpPRE,,,,,,,
atop,atop,PpPRE,,,,,,,
away_from,away_from,PpPRE,,,,,,,
barring,barring,PpPRE,,,,,,,
because_of,because_of,PpPRE,,,,,,,
before,before,PpPRE,,,,,,,
behind,behind,PpPRE,,,,,,,
behither,behither,PpPRE,,,,,,,
below,below,PpPRE,,,,,,,
beneath,beneath,PpPRE,,,,,,,
beside,beside,PpPRE,,,,,,,
besides,besides,PpPRE,,,,,,,
between,between,PpPRE,,,,,,,
betwixt,betwixt,PpPRE,,,,,,,
beyond,beyond,PpPRE,,,,,,,
but,but,PpPRE,,,,,,,
by,by,PpPRE,,,,,,,
by_means_of,by_means_of,PpPRE,,,,,,,
by_reason_of,by_reason_of,PpPRE,,,,,,,
by_the_side_of,by_the_side_of,PpPRE,,,,,,,
circa,circa,PpPRE,,,,,,,
close_by,close_by,PpPRE,,,,,,,
close_to,close_to,PpPRE,,,,,,,
