writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
after,after,subordinatingConjunction,,,,,,,
although,although,subordinatingConjunction,,,,,,,
and_so,and_so,subordinatingConjunction,,,,,,,
as,as,subordinatingConjunction,,,,,,,
as_if,as_if,subordinatingConjunction,,,,,,,
as_long_as,as_long_as,subordinatingConjunction,,,,,,,
as_soon_as,as_soon_as,subordinatingConjunction,,,,,,,
as_though,as_though,subordinatingConjunction,,,,,,,
because,because,subordinatingConjunction,,,,,,,
before,before,subordinatingConjunction,,,,,,,
but_for,but_for,subordinatingConjunction,,,,,,,
by_the_time,by_the_time,subordinatingConjunction,,,,,,,
considering,considering,subordinatingConjunction,,,,,,,
considering_that,considering_that,subordinatingConjunction,,,,,,,
despite,despite,subordinatingConjunction,,,,,,,
despite_the_fact_that,despite_the_fact_that,subordinatingConjunction,,,,,,,
each_time,each_time,subordinatingConjunction,,,,,,,
even_if,even_if,subordinatingConjunction,,,,,,,
even_though,even_though,subordinatingConjunction,,,,,,,
every_time,every_time,subordinatingConjunction,,,,,,,
except_that,except_that,subordinatingConjunction,,,,,,,
for_the_reason_that,for_the_reason_that,subordinatingConjunction,,,,,,,
hardly…when,hardly…when,subordinatingConjunction,,,,,,,
how,how,subordinatingConjunction,,,,,,,
however,however,subordinatingConjunction,,,,,,,
however_long,however_long,subordinatingConjunction,,,,,,,
however_much,however_much,subordinatingConjunction,,,,,,,
if,if,subordinatingConjunction,,,,,,,
in_case,in_case,subordinatingConjunction,,,,,,,
in_order_that,in_order_that,subordinatingConjunction,,,,,,,
in_order_to,in_order_to,subordinatingConjunction,,,,,,,
in_spite_of,in_spite_of,subordinatingConjunction,,,,,,,
in_the_manner,in_the_manner,subordinatingConjunction,,,,,,,
in_the_way,in_the_way,subordinatingConjunction,,,,,,,
just_as,just_as,subordinatingConjunction,,,,,,,
lest,lest,subordinatingConjunction,,,,,,,
like,like,subordinatingConjunction,,,,,,,
long_before,long_before,subordinatingConjunction,,,,,,,
much_as,much_as,subordinatingConjunction,,,,,,,
next_time,next_time,subordinatingConjunction,,,,,,,
no_matter,no_matter,subordinatingConjunction,,,,,,,
no_matter_whether,no_matter_whether,subordinatingConjunction,,,,,,,
no_sooner…than,no_sooner…than,subordinatingConjunction,,,,,,,
not_that,not_that,subordinatingConjunction,,,,,,,
notwithstanding,notwithstanding,subordinatingConjunction,,,,,,,
notwithstanding_the_fact,notwithstanding_the_fact,subordinatingConjunction,,,,,,,
now_that,now_that,subordinatingConjunction,,,,,,,
of_which,of_which,subordinatingConjunction,,,,,,,
on_condition_that,on_condition_that,subordinatingConjunction,,,,,,,
once,once,subordinatingConjunction,,,,,,,
only_if,only_if,subordinatingConjunction,,,,,,,
provided,provided,subordinatingConjunction,,,,,,,
provided_that,provided_that,subordinatingConjunction,,,,,,,
providing,providing,subordinatingConjunction,,,,,,,
providing_that,providing_that,subordinatingConjunction,,,,,,,
scarcely…when,scarcely…when,subordinatingConjunction,,,,,,,
since,since,subordinatingConjunction,,,,,,,
so,so,subordinatingConjunction,,,,,,,
so_as_to,so_as_to,subordinatingConjunction,,,,,,,
so_that,so_that,subordinatingConjunction,,,,,,,
such_that,such_that,subordinatingConjunction,,,,,,,
supposing,supposing,subordinatingConjunction,,,,,,,
supposing_that,supposing_that,subordinatingConjunction,,,,,,,
than,than,subordinatingConjunction,,,,,,,
that,that,subordinatingConjunction,,,,,,,
the_last_time,the_last_time,subordinatingConjunction,,,,,,,
the_moment,the_moment,subordinatingConjunction,,,,,,,
the_next_time,the_next_time,subordinatingConjunction,,,,,,,
the_way,the_way,subordinatingConjunction,,,,,,,
though,though,subordinatingConjunction,,,,,,,
till,till,subordinatingConjunction,,,,,,,
to,to,subordinatingConjunction,,,,,,,
to_anyone,to_anyone,subordinatingConjunction,,,,,,,
to_what,to_what,subordinatingConjunction,,,,,,,
to_whoever,to_whoever,subordinatingConjunction,,,,,,,
to_whom,to_whom,subordinatingConjunction,,,,,,,
unless,unless,subordinatingConjunction,,,,,,,
until,until,subordinatingConjunction,,,,,,,
what,what,subordinatingConjunction,,,,,,,
whatever,whatever,subordinatingConjunction,,,,,,,
when,when,subordinatingConjunction,,,,,,,
whenever,whenever,subordinatingConjunction,,,,,,,
where,where,subordinatingConjunction,,,,,,,
wheresoever,wheresoever,subordinatingConjunction,,,,,,,
wherever,wherever,subordinatingConjunction,,,,,,,
whether,whether,subordinatingConjunction,,,,,,,
which,which,subordinatingConjunction,,,,,,,
whichever,whichever,subordinatingConjunction,,,,,,,
while,while,subordinatingConjunction,,,,,,,
who,who,subordinatingConjunction,,,,,,,
whoever,whoever,subordinatingConjunction,,,,,,,
whom,whom,subordinatingConjunction,,,,,,,
whose,whose,subordinatingConjunction,,,,,,,
why,why,subordinatingConjunction,,,,,,,
whysoever,whysoever,subordinatingConjunction,,,,,,,
