writtenForm,lemma,partOfSpeech,grammaticalGender,grammaticalNumber,grammaticalCase,person,degree,verbFormMood,grammaticalTense
accordingly,accordingly,coordinatingConjunction,,,,,,,
and,and,coordinatingConjunction,,,,,,,
and...as_well,and...as_well,coordinatingConjunction,,,,,,,
as_well_as,as_well_as,coordinatingConjunction,,,,,,,
besides,besides,coordinatingConjunction,,,,,,,
both..and,both..and,coordinatingConjunction,,,,,,,
but,but,coordinatingConjunction,,,,,,,
consequently,consequently,coordinatingConjunction,,,,,,,
either…or,either…or,coordinatingConjunction,,,,,,,
else,else,coordinatingConjunction,,,,,,,
for_example,for_example,coordinatingConjunction,,,,,,,
for_instance,for_instance,coordinatingConjunction,,,,,,,
further,further,coordinatingConjunction,,,,,,,
furthermore,furthermore,coordinatingConjunction,,,,,,,
hence,hence,coordinatingConjunction,,,,,,,
let_us_say,let_us_say,coordinatingConjunction,,,,,,,
let's_say,let's_say,coordinatingConjunction,,,,,,,
namely,namely,coordinatingConjunction,,,,,,,
neither…nor,neither…nor,coordinatingConjunction,,,,,,,
no_less_than,no_less_than,coordinatingConjunction,,,,,,,
nor,nor,coordinatingConjunction,,,,,,,
not_only…but…too,not_only…but…too,coordinatingConjunction,,,,,,,
not…but_also,not…but_also,coordinatingConjunction,,,,,,,
not…either,not…either,coordinatingConjunction,,,,,,,
on_that_account,on_that_account,coordinatingConjunction,,,,,,,
or,or,coordinatingConjunction,,,,,,,
or_else,or_else,coordinatingConjunction,,,,,,,
otherwise,otherwise,coordinatingConjunction,,,,,,,
say,say,coordinatingConjunction,,,,,,,
so,so,coordinatingConjunction,,,,,,,
such_as,such_as,coordinatingConjunction,,,,,,,
that_is,that_is,coordinatingConjunction,,,,,,,
that_is_to_say,that_is_to_say,coordinatingConjunction,,,,,,,
that_is_why,that_is_why,coordinatingConjunction,,,,,,,
then,then,coordinatingConjunction,,,,,,,
therefore,therefore,coordinatingConjunction,,,,,,,
whereas,whereas,coordinatingConjunction,,,,,,,
while,while,coordinatingConjunction,,,,,,,
